因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,成功率,达到1%率,达到2%率,止损率,因子类型
A,9,0,6,2,9,1.29,0.0,0.0,66.67,22.22,100.0,隔夜建议等级
B,2,0,0,0,2,0.68,0.0,0.0,0.0,0.0,100.0,隔夜建议等级
C,5,1,4,1,3,1.39,0.0,20.0,80.0,20.0,60.0,隔夜建议等级
D,4,3,4,4,1,3.36,0.0,75.0,100.0,100.0,25.0,隔夜建议等级
冲高回落再转强型,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100.0,分时结构标签
强势横盘型,1,0,0,0,1,0.89,0.0,0.0,0.0,0.0,100.0,分时结构标签
急跌修复失败型,4,3,4,4,1,3.36,0.0,75.0,100.0,100.0,25.0,分时结构标签
急跌修复成功型,10,0,7,2,10,1.38,0.0,0.0,70.0,20.0,100.0,分时结构标签
普通震荡型,4,1,3,1,2,1.32,0.0,25.0,75.0,25.0,50.0,分时结构标签
尾盘抢筹,3,0,1,0,3,0.51,0.0,0.0,33.33,0.0,100.0,尾盘抢筹标签
尾盘无承接,3,3,3,3,0,3.02,0.0,100.0,100.0,100.0,0.0,尾盘抢筹标签
尾盘普通,8,1,5,2,6,1.59,0.0,12.5,62.5,25.0,75.0,尾盘抢筹标签
尾盘资金回流,6,0,5,2,6,1.67,0.0,0.0,83.33,33.33,100.0,尾盘抢筹标签
