因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
A,3,0,0,0,3,0.16,0.0,3,0.0,0.0,0.0,100.0,100.0,隔夜建议等级
B,3,0,2,1,3,1.95,0.0,3,0.0,66.67,33.33,100.0,100.0,隔夜建议等级
C,2,0,2,2,2,3.14,0.0,2,0.0,100.0,100.0,100.0,100.0,隔夜建议等级
D,2,0,2,2,2,4.41,0.0,2,0.0,100.0,100.0,100.0,100.0,隔夜建议等级
持仓,5,1,4,3,2,7.71,0.0,2,20.0,80.0,60.0,40.0,40.0,隔夜建议等级
冲高回落再转强型,1,0,0,0,1,0.32,0.0,1,0.0,0.0,0.0,100.0,100.0,分时结构标签
固定持仓,5,1,4,3,2,7.71,0.0,2,20.0,80.0,60.0,40.0,40.0,分时结构标签
强势横盘型,3,0,1,0,3,0.39,0.0,3,0.0,33.33,0.0,100.0,100.0,分时结构标签
急跌修复失败型,1,0,1,1,1,5.82,0.0,1,0.0,100.0,100.0,100.0,100.0,分时结构标签
急跌修复成功型,2,0,1,1,2,1.78,0.0,2,0.0,50.0,50.0,100.0,100.0,分时结构标签
普通震荡型,2,0,2,2,2,3.8,0.0,2,0.0,100.0,100.0,100.0,100.0,分时结构标签
高波动震荡型,1,0,1,1,1,2.91,0.0,1,0.0,100.0,100.0,100.0,100.0,分时结构标签
固定持仓,5,1,4,3,2,7.71,0.0,2,20.0,80.0,60.0,40.0,40.0,尾盘抢筹标签
尾盘抢筹,2,0,0,0,2,0.24,0.0,2,0.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
尾盘普通,7,0,6,5,7,2.99,0.0,7,0.0,85.71,71.43,100.0,100.0,尾盘抢筹标签
尾盘资金回流,1,0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
