股票代码,股票名称,确认日期,日线评分,风险扣分,候选评分,风险等级,所属板块,板块映射来源,板块涨跌幅,主力净流入,主力净流入占比,板块当日资金排名,板块近5日排名,板块近5日平均涨幅,板块广度,龙头涨幅,板块数据状态,隔夜建议,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,下午最高,下午最低,收盘价,今日成交额,尾盘成交额,尾盘放量倍数,今日涨跌幅,今日振幅,收盘位置,从低点修复幅度,从高点回落幅度,下午修复强度,是否突破上午高点,是否收在全天高位区,分时结构标签,尾盘抢筹标签,尾盘评分,最终评分,隔夜建议等级,隔夜建议说明
601628,中国人寿,2026-07-20,100.0,0.0,100.0,低,保险Ⅱ,output/sector_cache.csv,2.21,319329680.0,12.66,22,37,0.18,0.0,0.0,未知,优先观察,38.92,38.52,40.1,38.36,39.83,40.66,38.36,40.66,39.69,40.6,2030621807.84,297223130.27,1.2,4.32,5.91,0.9739,5.84,0.15,2.29,是,是,强势横盘型,尾盘抢筹,100.0,100.0,A,隔夜优先。结构【强势横盘型】，尾盘抢筹，最终评分100.00。
300628,亿联网络,2026-07-20,90.0,0.0,90.0,低,通信,output/sector_cache.csv,2.31,2315862272.0,4.07,3,71,-1.63,0.0,0.0,未知,优先观察,36.8,36.77,37.87,36.08,37.07,38.16,36.08,38.16,37.06,38.04,752286850.78,157323166.02,1.72,3.37,5.65,0.9423,5.43,0.31,2.64,是,是,冲高回落再转强型,尾盘抢筹,100.0,96.0,A,隔夜优先。结构【冲高回落再转强型】，尾盘抢筹，最终评分96.00。
603288,海天味业,2026-07-20,90.0,0.0,90.0,低,食品饮料,output/sector_cache.csv,0.57,68424048.0,0.83,74,70,-1.61,0.0,0.0,未知,优先观察,36.32,36.01,36.83,35.72,36.53,37.0,35.72,37.0,36.38,37.0,1185060327.07,164333161.9,1.14,1.87,3.52,1.0,3.58,0.0,1.7,是,是,强势横盘型,尾盘资金回流,90.0,90.0,A,隔夜优先。结构【强势横盘型】，尾盘资金回流，最终评分90.00。
600536,中国软件,2026-07-20,100.0,0.0,100.0,低,IT服务Ⅲ,output/sector_cache.csv,2.24,1242117616.0,11.04,10,167,-4.83,0.0,0.0,未知,优先观察,31.85,32.01,33.7,31.36,33.19,35.89,31.36,35.89,33.19,34.43,1910976288.59,190096538.4,0.82,8.1,14.22,0.6777,9.79,4.07,3.74,是,否,普通震荡型,尾盘普通,65.0,79.0,B,可观察。结构【普通震荡型】，最终评分79.00，只低吸不追高。
002714,牧原股份,2026-07-20,95.0,0.0,95.0,低,养殖业,output/sector_cache.csv,-0.18,-100195863.0,-5.89,459,83,-2.3,0.0,0.0,回避,资金未去，避免隔夜,40.9,39.28,40.83,38.42,40.63,40.84,38.42,40.84,40.0,40.61,3328172935.02,242761198.66,0.6,-0.71,5.92,0.905,5.7,0.56,1.52,否,是,急跌修复成功型,尾盘普通,45.0,65.0,B,可观察。结构【急跌修复成功型】，最终评分65.00，只低吸不追高。
002311,海大集团,2026-07-20,80.0,0.0,80.0,低,饲料,output/sector_cache.csv,0.18,-18147542.0,-4.15,380,34,0.52,0.0,0.0,谨慎,涨但资金未跟，谨慎,47.92,47.5,48.86,47.11,48.82,49.24,47.11,49.24,48.17,48.74,621731297.34,97211467.65,1.28,1.71,4.44,0.7653,3.46,1.02,1.18,否,是,强势横盘型,尾盘普通,55.0,65.0,B,可观察。结构【强势横盘型】，最终评分65.00，只低吸不追高。
000893,亚钾国际,2026-07-20,80.0,0.0,80.0,低,农化制品,output/sector_cache.csv,0.48,-68564248.0,-2.34,453,62,-1.43,0.0,0.0,谨慎,涨但资金未跟，谨慎,40.65,42.53,44.9,41.25,44.7,46.0,41.25,46.0,44.02,44.5,1172230005.0,122110466.76,0.85,9.47,11.69,0.6842,7.88,3.26,1.09,否,否,普通震荡型,尾盘普通,45.0,59.0,C,只观察。结构【普通震荡型】，最终评分59.00，不主动隔夜。
002881,美格智能,2026-07-20,85.0,0.0,85.0,中,通信,output/sector_cache.csv,2.31,2315862272.0,4.07,3,71,-1.63,0.0,0.0,未知,优先观察,39.05,40.0,40.37,38.51,39.56,40.37,37.8,39.8,37.8,39.23,766210843.09,65752351.0,0.7,0.46,6.58,0.5564,3.78,2.82,3.78,否,否,高波动震荡型,尾盘普通,35.0,55.0,C,只观察。结构【高波动震荡型】，最终评分55.00，不主动隔夜。
300085,银之杰,2026-07-20,110.0,0.0,100.0,中,软件开发,output/sector_cache.csv,2.34,212687520.0,1.91,31,104,-2.7,0.0,0.0,未知,优先观察,31.49,29.0,32.2,29.0,30.44,32.2,29.0,31.6,30.0,30.43,2047488954.44,249057753.79,1.0,-3.37,10.16,0.4469,4.93,5.5,1.43,否,否,急跌修复失败型,尾盘普通,0.0,40.0,D,放弃。结构【急跌修复失败型】，最终评分40.00。
300255,常山药业,2026-07-20,70.0,35.0,35.0,高,化学制剂,output/sector_cache.csv,0.61,-136547904.0,-1.52,470,123,-3.42,0.0,0.0,谨慎,涨但资金未跟，谨慎,31.76,28.97,30.95,28.01,30.07,30.95,28.01,30.57,29.07,30.05,2245352413.55,291849329.36,1.07,-5.38,9.26,0.6939,7.28,2.91,3.37,否,否,急跌修复成功型,尾盘普通,35.0,35.0,D,放弃。结构【急跌修复成功型】，最终评分35.00。
