刷新时间,股票代码,股票名称,参考价,当前价,日内最高,日内最低,实时行情时间,日线状态,实时状态,分钟状态,分钟行数,固定持仓,置顶原因
2026-09-07 09:27:45,002213,大为股份,27.87,28.33,28.33,28.33,2026-09-07 09:25:00,成功,新浪实时,成功,320,是,固定持仓每日跟踪
2026-09-07 09:27:45,002192,融捷股份,65.43,65.38,65.38,65.38,2026-09-07 09:25:00,成功,新浪实时,成功,320,是,固定持仓每日跟踪
2026-09-07 09:27:46,300623,捷捷微电,28.7,28.86,28.86,28.86,2026-09-07 09:25:00,成功,新浪实时,成功,320,是,固定持仓每日跟踪
