指数代码,指数名称,最新点位,涨跌点,涨跌幅,市场环境,风险等级,是否允许隔夜,建议仓位,交易建议,上证涨跌幅,深成指涨跌幅,创业板涨跌幅,资金流入方向,资金回避方向
s_sh000001,上证指数,4163.0965,72.6152,1.78,正常,中低,是,按原计划,市场环境正常，可按A/B低风险策略执行。,1.78,2.13,2.52,暂无,暂无
s_sz399001,深证成指,16372.5,341.797,2.13,正常,中低,是,按原计划,市场环境正常，可按A/B低风险策略执行。,1.78,2.13,2.52,暂无,暂无
s_sz399006,创业板指,4359.39,107.002,2.52,正常,中低,是,按原计划,市场环境正常，可按A/B低风险策略执行。,1.78,2.13,2.52,暂无,暂无
