因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
A,2,0,0,0,2,-0.28,-0.93,2,0.0,0.0,0.0,100.0,100.0,隔夜建议等级
B,4,0,0,0,4,-2.25,-4.47,2,0.0,0.0,0.0,100.0,50.0,隔夜建议等级
C,5,1,2,1,5,0.25,-1.78,5,20.0,40.0,20.0,100.0,100.0,隔夜建议等级
D,9,2,9,9,3,6.34,2.54,5,22.22,100.0,100.0,33.33,55.56,隔夜建议等级
持仓,5,1,3,0,5,1.21,0.0,5,20.0,60.0,0.0,100.0,100.0,隔夜建议等级
固定持仓,5,1,3,0,5,1.21,0.0,5,20.0,60.0,0.0,100.0,100.0,分时结构标签
尾盘资金回流型,1,0,0,0,1,-1.42,-4.46,1,0.0,0.0,0.0,100.0,100.0,分时结构标签
弱势收盘型,4,2,4,4,2,4.99,1.24,4,50.0,100.0,100.0,50.0,100.0,分时结构标签
强势横盘型,4,0,0,0,4,-0.47,-2.26,4,0.0,0.0,0.0,100.0,100.0,分时结构标签
急跌修复失败型,5,0,5,5,1,7.42,3.57,1,0.0,100.0,100.0,20.0,20.0,分时结构标签
急跌修复成功型,4,0,0,0,4,-2.33,-3.34,2,0.0,0.0,0.0,100.0,50.0,分时结构标签
普通震荡型,2,1,2,1,2,2.17,-0.89,2,50.0,100.0,50.0,100.0,100.0,分时结构标签
固定持仓,5,1,3,0,5,1.21,0.0,5,20.0,60.0,0.0,100.0,100.0,尾盘抢筹标签
尾盘抢筹,1,0,0,0,1,-0.52,-1.68,1,0.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
尾盘无承接,8,2,8,8,2,6.48,2.61,4,25.0,100.0,100.0,25.0,50.0,尾盘抢筹标签
尾盘普通,10,1,3,2,10,-0.25,-2.48,8,10.0,30.0,20.0,100.0,80.0,尾盘抢筹标签
尾盘资金回流,1,0,0,0,1,-0.03,-0.18,1,0.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
