股票代码,股票名称,确认日期,日线评分,风险扣分,候选评分,风险等级,所属板块,板块映射来源,板块涨跌幅,主力净流入,主力净流入占比,板块当日资金排名,板块近5日排名,板块近5日平均涨幅,板块广度,龙头涨幅,板块数据状态,隔夜建议,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,下午最高,下午最低,收盘价,今日成交额,尾盘成交额,尾盘放量倍数,今日涨跌幅,今日振幅,收盘位置,从低点修复幅度,从高点回落幅度,下午修复强度,是否突破上午高点,是否收在全天高位区,分时结构标签,尾盘抢筹标签,尾盘评分,最终评分,隔夜建议等级,隔夜建议说明
601601,中国太保,2026-07-23,90.0,0.0,90.0,低,保险Ⅱ,output/sector_cache.csv,-0.78,-23020288.0,-1.15,344.0,25.0,1.55,0.0,0.0,回避,资金未去，避免隔夜,31.63,32.75,32.76,32.23,32.66,32.9,32.23,32.9,32.5,32.81,1726833639.51,204880736.5,0.97,3.73,2.12,0.8657,1.8,0.27,0.95,是,是,强势横盘型,尾盘资金回流,75.0,81.0,A,隔夜优先。结构【强势横盘型】，尾盘资金回流，最终评分81.00。
300677,英科医疗,2026-07-23,80.0,0.0,80.0,低,医疗器械,output/sector_cache.csv,-0.21,-199563744.0,-3.23,459.0,137.0,-3.72,0.0,0.0,回避,资金未去，避免隔夜,47.5,46.6,47.99,45.9,46.92,47.99,45.9,47.86,46.85,47.75,421444777.92,73589182.0,1.43,0.53,4.4,0.8852,4.03,0.5,1.92,否,是,急跌修复成功型,尾盘抢筹,80.0,80.0,A,隔夜优先。结构【急跌修复成功型】，尾盘抢筹，最终评分80.00。
300919,中伟新材,2026-07-23,90.0,0.0,90.0,低,电池化学品,output/sector_cache.csv,2.48,283330016.0,5.28,16.0,91.0,-2.37,0.0,0.0,未知,优先观察,38.98,38.45,41.41,38.17,41.39,41.87,38.17,41.87,40.85,41.13,1012839087.57,86259079.84,0.7,5.52,9.49,0.8,7.75,1.77,0.69,否,是,急跌修复成功型,尾盘普通,55.0,69.0,B,可观察。结构【急跌修复成功型】，最终评分69.00，只低吸不追高。
603799,华友钴业,2026-07-23,90.0,0.0,90.0,低,能源金属,output/sector_cache.csv,3.79,347610928.0,6.91,12.0,116.0,-3.18,0.0,0.0,未知,优先观察,39.53,39.8,41.92,39.6,41.41,41.92,39.6,41.74,40.88,41.55,3821946884.88,442524492.02,0.95,5.11,5.87,0.8405,4.92,0.88,1.64,否,是,强势横盘型,尾盘普通,55.0,69.0,B,可观察。结构【强势横盘型】，最终评分69.00，只低吸不追高。
600066,宇通客车,2026-07-23,90.0,0.0,90.0,低,商用车,output/sector_cache.csv,0.56,32493801.0,5.42,67.0,102.0,-2.59,0.0,0.0,未知,优先观察,31.48,30.79,32.49,30.39,32.46,32.6,30.39,32.6,32.06,32.18,658522044.52,46941218.0,0.59,2.22,7.02,0.81,5.89,1.29,0.37,否,是,急跌修复成功型,尾盘普通,55.0,69.0,B,可观察。结构【急跌修复成功型】，最终评分69.00，只低吸不追高。
000960,锡业股份,2026-07-23,100.0,0.0,100.0,中,,未匹配,,,,,,,,,,,31.12,32.15,33.24,31.62,32.7,33.24,31.62,33.0,32.51,32.83,1781473596.17,192548830.68,0.89,5.49,5.21,0.7469,3.83,1.23,0.98,否,否,强势横盘型,尾盘普通,45.0,67.0,B,可观察。结构【强势横盘型】，最终评分67.00，只低吸不追高。
600362,江西铜业,2026-07-23,90.0,0.0,90.0,中,铜,output/sector_cache.csv,1.34,-276570224.0,-3.78,472.0,10.0,4.45,0.0,0.0,谨慎,涨但资金未跟，谨慎,40.8,43.48,45.85,42.51,45.45,45.85,42.51,45.85,44.83,45.06,4075996018.24,358778632.78,0.72,10.44,8.19,0.7635,6.0,1.72,0.51,否,是,尾盘资金回流型,尾盘普通,45.0,63.0,C,只观察。结构【尾盘资金回流型】，最终评分63.00，不主动隔夜。
600301,华锡有色,2026-07-23,88.0,0.0,88.0,中,,未匹配,,,,,,,,,,,39.72,40.7,42.59,39.8,41.96,42.59,39.8,42.11,41.38,41.83,620220624.26,57875274.55,0.77,5.31,7.02,0.7276,5.1,1.78,1.09,否,否,普通震荡型,尾盘普通,45.0,62.2,C,只观察。结构【普通震荡型】，最终评分62.20，不主动隔夜。
000831,中国稀土,2026-07-23,90.0,0.0,90.0,低,稀土,output/sector_cache.csv,0.47,-93644953.0,-10.24,430.0,4.0,6.95,0.0,0.0,谨慎,涨但资金未跟，谨慎,49.88,48.88,50.29,48.65,49.88,50.29,48.65,50.02,49.5,49.78,1313368934.66,143855152.1,0.9,-0.2,3.29,0.689,2.32,1.01,0.57,否,否,急跌修复成功型,尾盘普通,35.0,57.0,C,只观察。结构【急跌修复成功型】，最终评分57.00，不主动隔夜。
300316,晶盛机电,2026-07-23,90.0,0.0,90.0,低,光伏加工设备,output/sector_cache.csv,0.28,-34599143.0,-4.33,372.0,66.0,-1.53,0.0,0.0,谨慎,涨但资金未跟，谨慎,38.51,39.89,39.95,38.55,38.8,39.95,38.55,39.34,38.68,39.12,631100771.01,92207705.56,1.2,1.58,3.64,0.4071,1.48,2.08,1.14,否,否,普通震荡型,尾盘普通,30.0,54.0,C,只观察。结构【普通震荡型】，最终评分54.00，不主动隔夜。
600938,中国海油,2026-07-23,80.0,0.0,80.0,中,油气开采Ⅱ,output/sector_cache.csv,1.48,88610878.0,6.03,34.0,38.0,0.64,0.0,0.0,未知,优先观察,30.93,32.8,33.3,32.4,33.1,33.3,32.4,33.14,32.71,32.99,2675989624.19,242338642.11,0.74,6.66,2.91,0.6556,1.82,0.93,0.86,否,否,强势横盘型,尾盘普通,30.0,50.0,C,只观察。结构【强势横盘型】，最终评分50.00，不主动隔夜。
603127,昭衍新药,2026-07-23,105.0,0.0,100.0,中,医疗服务,output/sector_cache.csv,-0.2,79626672.0,1.05,38.0,179.0,-5.46,0.0,0.0,谨慎,资金流入但价格弱，谨慎,48.06,47.82,51.35,47.82,48.7,51.35,47.82,49.6,48.01,48.49,2939537746.34,253835914.83,0.71,0.89,7.34,0.1898,1.4,5.57,1.0,否,否,弱势收盘型,尾盘无承接,0.0,40.0,D,放弃。结构【弱势收盘型】，最终评分40.00。
688249,晶合集成,2026-07-23,98.0,0.0,98.0,中,半导体,output/sector_cache.csv,-0.44,-4814916096.0,-4.93,496.0,44.0,-0.17,0.0,0.0,回避,资金未去，避免隔夜,49.8,48.88,49.19,44.61,44.99,49.19,44.61,46.39,44.8,45.42,1574779342.98,131774058.13,0.69,-8.8,9.2,0.1769,1.82,7.66,1.38,否,否,急跌修复失败型,尾盘无承接,0.0,39.2,D,放弃。结构【急跌修复失败型】，最终评分39.20。
300657,弘信电子,2026-07-23,98.0,0.0,98.0,中,印制电路板,output/sector_cache.csv,3.28,576387840.0,2.23,8.0,6.0,5.73,0.0,0.0,未知,优先观察,33.17,33.61,34.81,32.88,33.04,34.81,32.88,33.63,32.9,33.22,923188569.96,92034627.0,0.82,0.15,5.82,0.1762,1.03,4.57,0.97,否,否,弱势收盘型,尾盘无承接,0.0,39.2,D,放弃。结构【弱势收盘型】，最终评分39.20。
300759,康龙化成,2026-07-23,95.0,0.0,95.0,中,医疗服务,output/sector_cache.csv,-0.2,79626672.0,1.05,38.0,179.0,-5.46,0.0,0.0,谨慎,资金流入但价格弱，谨慎,39.36,39.27,40.05,38.07,38.37,40.05,38.07,39.57,38.33,39.0,3196890125.95,364992518.03,0.94,-0.91,5.03,0.4697,2.44,2.62,1.75,否,否,急跌修复失败型,尾盘普通,0.0,38.0,D,放弃。结构【急跌修复失败型】，最终评分38.00。
300433,蓝思科技,2026-07-23,93.0,0.0,93.0,中,消费电子,output/sector_cache.csv,1.27,765460528.0,3.38,4.0,51.0,-1.03,0.0,0.0,未知,优先观察,38.29,37.27,38.48,36.03,36.3,38.48,36.03,36.85,36.05,36.58,3285223565.54,358576259.15,0.9,-4.47,6.4,0.2245,1.53,4.94,1.47,否,否,急跌修复失败型,尾盘无承接,0.0,37.2,D,放弃。结构【急跌修复失败型】，最终评分37.20。
600536,中国软件,2026-07-23,90.0,0.0,90.0,低,IT服务Ⅲ,output/sector_cache.csv,0.38,-998149440.0,-4.78,487.0,147.0,-4.04,0.0,0.0,谨慎,涨但资金未跟，谨慎,33.63,34.2,34.77,33.68,33.9,34.77,33.68,34.18,33.72,33.95,1088572167.66,125070729.87,0.94,0.95,3.24,0.2477,0.8,2.36,0.68,否,否,弱势收盘型,尾盘无承接,0.0,36.0,D,放弃。结构【弱势收盘型】，最终评分36.00。
000628,高新发展,2026-07-23,88.0,0.0,88.0,中,房屋建设Ⅱ,output/sector_cache.csv,0.15,-2841244.0,-0.63,231.0,133.0,-3.68,0.0,0.0,谨慎,涨但资金未跟，谨慎,35.02,36.44,37.6,36.1,36.64,37.6,36.08,36.74,36.08,36.4,361479923.16,36101528.0,0.82,3.94,4.34,0.2105,0.89,3.19,0.89,否,否,弱势收盘型,尾盘无承接,0.0,35.2,D,放弃。结构【弱势收盘型】，最终评分35.20。
002841,视源股份,2026-07-23,88.0,0.0,88.0,低,消费电子,output/sector_cache.csv,1.27,765460528.0,3.38,4.0,51.0,-1.03,0.0,0.0,未知,优先观察,48.26,48.0,48.31,45.54,45.78,48.31,45.54,46.22,45.66,45.9,904758037.07,121311666.3,1.1,-4.89,5.74,0.13,0.79,4.99,0.53,否,否,急跌修复失败型,尾盘无承接,0.0,35.2,D,放弃。结构【急跌修复失败型】，最终评分35.20。
301236,软通动力,2026-07-23,88.0,0.0,88.0,低,IT服务Ⅲ,output/sector_cache.csv,0.38,-998149440.0,-4.78,487.0,147.0,-4.04,0.0,0.0,谨慎,涨但资金未跟，谨慎,38.48,38.83,39.09,37.5,37.67,39.09,37.5,38.15,37.61,37.65,1068452229.35,125249096.6,0.96,-2.16,4.13,0.0943,0.4,3.68,0.11,否,否,急跌修复失败型,尾盘无承接,0.0,35.2,D,放弃。结构【急跌修复失败型】，最终评分35.20。
