因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
B,4,1,3,3,2,4.59,-0.8,3,25.0,75.0,75.0,50.0,75.0,隔夜建议等级
C,6,3,6,6,3,4.92,2.13,5,50.0,100.0,100.0,50.0,83.33,隔夜建议等级
D,10,3,10,7,3,2.5,-1.06,6,30.0,100.0,70.0,30.0,60.0,隔夜建议等级
持仓,5,0,5,5,0,4.48,0.0,0,0.0,100.0,100.0,0.0,0.0,隔夜建议等级
固定持仓,5,0,5,5,0,4.48,0.0,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
强势横盘型,1,0,1,1,1,2.56,0.37,1,0.0,100.0,100.0,100.0,100.0,分时结构标签
急跌修复失败型,9,3,9,6,3,2.48,-1.2,6,33.33,100.0,66.67,33.33,66.67,分时结构标签
急跌修复成功型,7,4,6,6,3,4.88,0.54,6,57.14,85.71,85.71,42.86,85.71,分时结构标签
普通震荡型,2,0,2,2,0,4.23,0.5,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
高波动震荡型,1,0,1,1,1,5.37,4.65,1,0.0,100.0,100.0,100.0,100.0,分时结构标签
固定持仓,5,0,5,5,0,4.48,0.0,0,0.0,100.0,100.0,0.0,0.0,尾盘抢筹标签
尾盘无承接,4,1,4,4,0,3.3,-0.21,2,25.0,100.0,100.0,0.0,50.0,尾盘抢筹标签
尾盘普通,16,6,15,12,8,3.73,-0.01,12,37.5,93.75,75.0,50.0,75.0,尾盘抢筹标签
