因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
B,1,0,1,1,1,4.05,-1.73,1,0.0,100.0,100.0,100.0,100.0,隔夜建议等级
C,4,1,4,4,1,8.14,2.0,1,25.0,100.0,100.0,25.0,25.0,隔夜建议等级
D,15,0,15,14,4,10.21,5.74,0,0.0,100.0,93.33,26.67,0.0,隔夜建议等级
持仓,4,3,3,1,1,1.83,0.0,3,75.0,75.0,25.0,25.0,75.0,隔夜建议等级
固定持仓,4,3,3,1,1,1.83,0.0,3,75.0,75.0,25.0,25.0,75.0,分时结构标签
弱势收盘型,3,0,3,2,3,5.33,4.88,0,0.0,100.0,66.67,100.0,0.0,分时结构标签
强势横盘型,1,1,1,1,1,3.1,-0.23,1,100.0,100.0,100.0,100.0,100.0,分时结构标签
急跌修复失败型,12,0,12,12,1,11.43,5.95,0,0.0,100.0,100.0,8.33,0.0,分时结构标签
急跌修复成功型,1,0,1,1,0,4.73,1.57,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
普通震荡型,2,0,2,2,1,9.62,0.3,1,0.0,100.0,100.0,50.0,50.0,分时结构标签
高波动震荡型,1,0,1,1,0,9.57,4.35,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
固定持仓,4,3,3,1,1,1.83,0.0,3,75.0,75.0,25.0,25.0,75.0,尾盘抢筹标签
尾盘无承接,14,0,14,13,4,10.28,5.89,0,0.0,100.0,92.86,28.57,0.0,尾盘抢筹标签
尾盘普通,6,1,6,6,2,7.64,1.66,2,16.67,100.0,100.0,33.33,33.33,尾盘抢筹标签
