因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
B,2,0,2,2,1,6.18,5.04,1,0.0,100.0,100.0,50.0,50.0,隔夜建议等级
C,3,2,2,2,0,2.66,1.45,2,66.67,66.67,66.67,0.0,66.67,隔夜建议等级
D,15,4,15,14,2,6.94,6.01,4,26.67,100.0,93.33,13.33,26.67,隔夜建议等级
持仓,4,4,1,0,2,0.55,0.0,4,100.0,25.0,0.0,50.0,100.0,隔夜建议等级
固定持仓,4,4,1,0,2,0.55,0.0,4,100.0,25.0,0.0,50.0,100.0,分时结构标签
尾盘资金回流型,1,0,1,1,0,3.9,1.02,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
弱势收盘型,9,2,9,8,2,6.34,5.67,2,22.22,100.0,88.89,22.22,22.22,分时结构标签
强势横盘型,3,1,2,2,1,4.29,3.48,2,33.33,66.67,66.67,33.33,66.67,分时结构标签
急跌修复失败型,6,2,6,6,0,7.83,6.52,2,33.33,100.0,100.0,0.0,33.33,分时结构标签
急跌修复成功型,1,1,1,1,0,3.54,2.95,1,100.0,100.0,100.0,0.0,100.0,分时结构标签
固定持仓,4,4,1,0,2,0.55,0.0,4,100.0,25.0,0.0,50.0,100.0,尾盘抢筹标签
尾盘无承接,14,3,14,13,2,7.1,6.29,3,21.43,100.0,92.86,14.29,21.43,尾盘抢筹标签
尾盘普通,6,3,5,5,1,4.17,2.75,4,50.0,83.33,83.33,16.67,66.67,尾盘抢筹标签
