股票代码,股票名称,确认日期,日线评分,风险扣分,候选评分,风险等级,所属板块,板块映射来源,板块涨跌幅,主力净流入,主力净流入占比,板块当日资金排名,板块近5日排名,板块近5日平均涨幅,板块广度,龙头涨幅,板块数据状态,隔夜建议,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,下午最高,下午最低,收盘价,今日成交额,尾盘成交额,尾盘放量倍数,今日涨跌幅,今日振幅,收盘位置,从低点修复幅度,从高点回落幅度,下午修复强度,是否突破上午高点,是否收在全天高位区,分时结构标签,尾盘抢筹标签,尾盘评分,最终评分,隔夜建议等级,隔夜建议说明
600536,中国软件,2026-07-19,100.0,0.0,100.0,低,IT服务Ⅲ,output/sector_cache.csv,-0.87,-80032208.0,-0.67,363,168,-4.59,0.0,0.0,回避,资金未去，避免隔夜,31.85,31.32,33.14,31.16,32.32,33.14,31.16,32.89,31.49,32.65,1659167593.94,171716117.87,0.85,2.51,6.22,0.7525,4.78,1.48,3.68,否,是,冲高回落再转强型,尾盘普通,45.0,67.0,B,可观察。结构【冲高回落再转强型】，最终评分67.00，只低吸不追高。
601628,中国人寿,2026-07-19,100.0,0.0,100.0,低,保险Ⅱ,output/sector_cache.csv,2.79,319195360.0,10.03,9,75,-1.68,0.0,0.0,未知,优先观察,38.92,38.6,39.49,38.58,39.25,39.56,38.17,39.56,38.17,39.05,2207435645.11,308635906.38,1.15,0.33,3.57,0.6331,2.31,1.29,2.31,否,否,强势横盘型,尾盘普通,45.0,67.0,B,可观察。结构【强势横盘型】，最终评分67.00，只低吸不追高。
000893,亚钾国际,2026-07-19,80.0,0.0,80.0,低,农化制品,output/sector_cache.csv,-0.24,-115349326.0,-3.55,383,71,-1.57,0.0,0.0,回避,资金未去，避免隔夜,40.65,40.52,43.95,40.27,43.51,43.95,40.27,43.49,41.9,42.59,1062584737.41,72476120.15,0.56,4.77,9.05,0.6304,5.76,3.09,1.65,否,否,普通震荡型,尾盘普通,45.0,59.0,C,只观察。结构【普通震荡型】，最终评分59.00，不主动隔夜。
002881,美格智能,2026-07-19,85.0,0.0,85.0,中,通信,output/sector_cache.csv,0.19,105787648.0,0.17,45,47,-0.62,0.0,0.0,未知,优先观察,39.05,38.31,42.93,38.05,40.7,42.93,38.05,41.5,40.22,40.68,1098833992.77,80427957.93,0.6,4.17,12.5,0.5389,6.91,5.24,1.14,否,否,高波动震荡型,尾盘普通,35.0,55.0,C,只观察。结构【高波动震荡型】，最终评分55.00，不主动隔夜。
002311,海大集团,2026-07-19,80.0,0.0,80.0,低,饲料,output/sector_cache.csv,-0.77,-39119916.0,-9.64,326,36,0.52,0.0,0.0,回避,资金未去，避免隔夜,47.92,47.85,48.78,47.2,47.94,48.78,47.2,48.56,47.7,47.93,750325147.5,128944572.0,1.41,0.02,3.3,0.462,1.55,1.74,0.48,否,否,普通震荡型,尾盘普通,30.0,50.0,C,只观察。结构【普通震荡型】，最终评分50.00，不主动隔夜。
300085,银之杰,2026-07-19,110.0,0.0,100.0,中,软件开发,output/sector_cache.csv,-0.9,-523071632.0,-5.12,468,96,-2.45,0.0,0.0,回避,资金未去，避免隔夜,31.49,30.99,34.0,30.68,33.51,34.0,30.68,33.58,30.68,30.7,3097801483.34,274017742.62,0.73,-2.51,10.54,0.006,0.07,9.71,0.07,否,否,急跌修复失败型,尾盘无承接,0.0,40.0,D,放弃。结构【急跌修复失败型】，最终评分40.00。
600105,永鼎股份,2026-07-19,95.0,0.0,95.0,低,通信,output/sector_cache.csv,0.19,105787648.0,0.17,45,47,-0.62,0.0,0.0,未知,优先观察,48.53,43.77,44.59,40.4,40.97,44.59,40.08,41.0,40.08,40.08,4065180497.35,139374357.31,0.28,-17.41,9.29,0.0,0.0,10.11,0.0,否,否,急跌修复失败型,尾盘无承接,0.0,38.0,D,放弃。结构【急跌修复失败型】，最终评分38.00。
600362,XD江西铜,2026-07-19,95.0,0.0,95.0,低,铜,output/sector_cache.csv,-1.19,-96958512.0,-2.19,376,15,3.91,0.0,0.0,回避,资金未去，避免隔夜,48.02,40.5,40.68,38.97,39.47,40.68,38.68,39.83,38.68,39.03,2309642614.69,225886232.63,0.8,-18.72,4.16,0.175,0.9,4.06,0.9,否,否,急跌修复失败型,尾盘无承接,0.0,38.0,D,放弃。结构【急跌修复失败型】，最终评分38.00。
002714,牧原股份,2026-07-19,95.0,0.0,95.0,低,养殖业,output/sector_cache.csv,-0.88,-58413024.0,-5.79,345,91,-2.3,0.0,0.0,回避,资金未去，避免隔夜,40.9,40.91,41.55,39.85,40.14,41.55,39.21,40.25,39.21,39.83,3651635624.36,310094772.44,0.7,-2.62,5.72,0.265,1.58,4.14,1.58,否,否,急跌修复失败型,尾盘无承接,0.0,38.0,D,放弃。结构【急跌修复失败型】，最终评分38.00。
600522,中天科技,2026-07-19,90.0,0.0,90.0,中,通信,output/sector_cache.csv,0.19,105787648.0,0.17,45,47,-0.62,0.0,0.0,未知,优先观察,44.98,37.13,37.8,34.45,34.68,37.8,33.65,34.8,33.65,33.65,9159044069.29,771457359.65,0.69,-25.19,9.23,0.0,0.0,10.98,0.0,否,否,急跌修复失败型,尾盘无承接,0.0,36.0,D,放弃。结构【急跌修复失败型】，最终评分36.00。
