因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
B,2,1,2,0,2,1.4,0.0,2,50.0,100.0,0.0,100.0,100.0,隔夜建议等级
C,3,1,3,2,2,3.5,0.0,3,33.33,100.0,66.67,66.67,100.0,隔夜建议等级
D,8,1,7,6,1,13.27,8.38,1,12.5,87.5,75.0,12.5,12.5,隔夜建议等级
持仓,5,0,5,5,0,6.59,0.0,0,0.0,100.0,100.0,0.0,0.0,隔夜建议等级
冲高回落再转强型,1,0,1,0,1,1.5,0.0,1,0.0,100.0,0.0,100.0,100.0,分时结构标签
固定持仓,5,0,5,5,0,6.59,0.0,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
弱势收盘型,3,0,2,1,1,0.92,-2.36,0,0.0,66.67,33.33,33.33,0.0,分时结构标签
强势横盘型,1,1,1,0,1,1.31,0.0,1,100.0,100.0,0.0,100.0,100.0,分时结构标签
急跌修复失败型,5,1,5,5,0,20.68,14.83,1,20.0,100.0,100.0,0.0,20.0,分时结构标签
普通震荡型,2,1,2,1,1,2.48,0.0,2,50.0,100.0,50.0,50.0,100.0,分时结构标签
高波动震荡型,1,0,1,1,1,5.53,0.0,1,0.0,100.0,100.0,100.0,100.0,分时结构标签
固定持仓,5,0,5,5,0,6.59,0.0,0,0.0,100.0,100.0,0.0,0.0,尾盘抢筹标签
尾盘无承接,8,1,7,6,1,13.27,8.38,1,12.5,87.5,75.0,12.5,12.5,尾盘抢筹标签
尾盘普通,5,2,5,2,4,2.66,0.0,5,40.0,100.0,40.0,80.0,100.0,尾盘抢筹标签
