日期,开盘,收盘,最高,最低,成交量,成交额
2025-02-14,4.17,4.15,4.21,4.13,52936879,219688047.85000002
2025-02-17,4.2,4.26,4.31,4.13,157274949,669991282.74
2025-02-18,4.27,4.13,4.27,4.12,101796532,420419677.15999997
2025-02-19,4.13,4.2,4.2,4.11,75054999,315230995.8
2025-02-20,4.17,4.19,4.24,4.14,66191690,277343181.1
2025-02-21,4.19,4.22,4.25,4.18,66631767,281186056.74
2025-02-24,4.47,4.34,4.55,4.33,264970793,1149973241.62
2025-02-25,4.27,4.2,4.3,4.15,170525880,716208696.0
2025-02-26,4.17,4.17,4.18,4.14,104094595,434074461.15
2025-02-27,4.16,4.14,4.17,4.09,94163791,389838094.73999995
2025-02-28,4.13,4.09,4.15,4.07,64507950,263837515.5
2025-03-03,4.1,4.09,4.12,4.08,58619771,239754863.39
2025-03-04,4.09,4.12,4.14,4.06,63087609,259920949.08
2025-03-05,4.16,4.1,4.17,4.08,49721526,203858256.6
2025-03-06,4.09,4.1,4.11,4.07,64534274,264590523.39999998
2025-03-07,4.09,4.07,4.11,4.06,63485058,258384186.06000003
2025-03-10,4.09,4.08,4.12,4.06,53421118,217958161.44
2025-03-11,4.06,4.1,4.1,4.03,59364082,243392736.2
2025-03-12,4.1,4.07,4.11,4.06,54256036,220822066.52
2025-03-13,4.06,4.06,4.08,4.04,55813994,226604815.64
2025-03-14,4.06,4.11,4.11,4.05,86110516,353914220.76000005
2025-03-17,4.12,4.13,4.17,4.11,81091722,334908811.86
2025-03-18,4.13,4.1,4.14,4.09,50922330,208781552.99999997
2025-03-19,4.1,4.08,4.1,4.07,42011393,171406483.44
2025-03-20,4.09,4.07,4.1,4.07,38105017,155087419.19
2025-03-21,4.06,4.05,4.09,4.03,60149498,243605466.89999998
2025-03-24,4.04,4.01,4.06,3.98,61731016,247541374.16
2025-03-25,4.01,4.04,4.04,3.99,44894004,181371776.16
2025-03-26,4.03,4.06,4.08,4.02,60592246,246004518.76
2025-03-27,4.06,4.06,4.08,4.04,40287619,163567733.14
2025-03-28,4.06,4.03,4.07,4.02,33251436,134003287.08000001
2025-03-31,4.02,3.97,4.04,3.96,47118431,187060171.07000002
2025-04-01,3.97,4.02,4.03,3.97,39152242,157392012.83999997
2025-04-02,4.02,4.0,4.03,3.99,25748233,102992932.0
2025-04-03,4.0,4.06,4.07,3.99,62378751,253257729.05999997
2025-04-07,4.13,4.34,4.45,4.04,424733061,1843341484.74
2025-04-08,4.35,4.77,4.77,4.08,536458624,2558907636.4799995
2025-04-09,4.86,4.68,5.2,4.51,633863283,2966480164.44
2025-04-10,4.44,4.74,4.88,4.44,478324514,2267258196.36
2025-04-11,4.64,4.4,4.68,4.39,355456581,1564008956.4
2025-04-14,4.38,4.44,4.57,4.38,227997378,1012308358.32
2025-04-15,4.4,4.32,4.42,4.29,190504259,822978398.88
2025-04-16,4.3,4.25,4.31,4.18,165845138,704841836.5
2025-04-17,4.22,4.24,4.29,4.2,113675783,481985319.92
2025-04-18,4.24,4.19,4.25,4.16,99659800,417574562.00000006
2025-04-21,4.18,4.2,4.21,4.15,93475211,392595886.2
2025-04-22,4.18,4.22,4.24,4.17,114216167,481992224.73999995
2025-04-23,4.2,4.12,4.21,4.12,138141564,569143243.6800001
