日期,开盘,收盘,最高,最低,成交量,成交额
2026-05-22,99.99,111.8,161.0,99.99,24770534,2769345701.2
2026-05-25,99.0,88.9,105.98,88.88,16382235,1456380691.5
2026-05-26,84.01,89.18,93.99,77.78,15611541,1392237226.38
2026-05-27,84.62,78.5,86.2,78.0,9794417,768861734.5
