日期,开盘,收盘,最高,最低,成交量,成交额
2025-02-14,18.59,18.82,19.15,18.49,2020321,38022441.22
2025-02-17,18.9,19.48,19.58,18.9,2783781,54228053.88
2025-02-18,19.44,19.33,19.93,19.03,3672280,70985172.39999999
2025-02-19,19.18,19.35,19.5,19.03,2285435,44223167.25
2025-02-20,19.4,19.35,19.74,19.25,2241700,43376895.0
2025-02-21,19.35,19.35,19.61,19.07,2057174,39806316.900000006
2025-02-24,19.31,19.5,19.63,19.11,2026800,39522600.0
2025-02-25,19.36,19.31,19.47,19.23,1118100,21590511.0
2025-02-26,19.32,19.4,19.46,19.29,995800,19318520.0
2025-02-27,19.33,19.61,19.61,19.1,2098743,41156350.23
2025-02-28,19.5,19.01,19.61,18.93,1507048,28648982.480000004
2025-03-03,19.05,18.98,19.35,18.81,1724200,32725316.0
2025-03-04,18.9,19.17,19.18,18.9,976400,18717588.0
2025-03-05,19.15,19.07,19.35,18.83,1083600,20664252.0
2025-03-06,19.06,19.36,19.37,19.05,1471457,28487407.52
2025-03-07,19.33,19.1,19.35,18.96,1143566,21842110.6
2025-03-10,19.24,19.38,19.64,19.22,1409129,27308920.02
2025-03-11,19.26,19.25,19.29,19.0,1035040,19924520.0
2025-03-12,19.26,19.22,19.43,19.12,933000,17932260.0
2025-03-13,19.21,19.06,19.28,18.83,1118605,21320611.299999997
2025-03-14,19.04,19.58,19.59,18.98,2137757,41857282.059999995
2025-03-17,19.58,19.6,19.7,19.4,1240154,24307018.400000002
2025-03-18,19.82,19.67,19.82,19.47,1086560,21372635.200000003
2025-03-19,19.69,19.54,19.82,19.49,943675,18439409.5
2025-03-20,19.53,19.59,19.69,19.34,970100,19004259.0
2025-03-21,19.67,19.43,19.78,19.31,1204368,23400870.24
2025-03-24,19.4,18.7,19.49,18.36,2330290,43576423.0
2025-03-25,18.66,18.59,18.7,18.28,1007300,18725707.0
2025-03-26,18.5,18.95,19.07,18.35,1233994,23384186.3
2025-03-27,18.93,19.08,19.18,18.54,1058300,20192364.0
2025-03-28,19.03,18.88,19.32,18.85,1103700,20837856.0
2025-03-31,18.86,18.62,18.86,18.41,893400,16635108.0
2025-04-01,19.02,19.35,19.8,18.98,2952700,57134745.00000001
2025-04-02,19.29,19.61,19.73,19.12,2134475,41857054.75
2025-04-03,19.48,19.6,19.85,19.38,1542700,30236920.000000004
2025-04-07,18.8,16.88,19.16,16.12,2748732,46398596.16
2025-04-08,16.97,17.13,17.78,16.83,1721132,29482991.16
2025-04-09,16.8,17.52,17.7,15.85,1747136,30609822.72
2025-04-10,17.75,17.93,18.09,17.55,1281600,22979088.0
2025-04-11,17.8,17.9,18.16,17.65,1110100,19870790.0
2025-04-14,17.98,18.12,18.26,17.98,722630,13094055.600000001
2025-04-15,18.13,18.28,18.38,18.06,684428,12511343.84
2025-04-16,18.3,17.93,18.3,17.63,958728,17189993.04
2025-04-17,17.89,18.17,18.39,17.81,1110600,20179602.000000004
2025-04-18,18.17,18.06,18.36,17.9,963184,17395103.04
2025-04-21,18.0,18.08,18.21,17.73,931994,16850451.52
2025-04-22,18.0,17.92,18.16,17.89,792200,14196224.000000002
2025-04-23,17.98,18.17,18.2,17.94,763400,13870978.000000002
2025-04-24,18.13,18.0,18.3,17.83,885500,15939000.0
2025-04-25,18.03,17.89,18.22,17.8,815100,14582139.0
2025-04-28,17.8,17.78,17.87,17.4,861124,15310784.72
2025-04-29,17.78,18.13,18.23,17.61,1076800,19522384.0
2025-04-30,18.33,18.33,18.4,18.15,705000,12922649.999999998
2025-05-06,18.46,18.59,18.59,18.34,1111520,20663156.8
2025-05-07,18.82,18.75,18.98,18.67,1043520,19566000.0
2025-05-08,18.75,19.1,19.13,18.7,869728,16611804.8
2025-05-09,19.11,18.86,19.19,18.84,908500,17134310.0
2025-05-12,19.0,19.0,19.13,18.8,656000,12464000.0
2025-05-13,19.1,19.35,19.58,18.81,2291800,44346330.0
2025-05-14,19.68,19.23,19.92,18.98,2490200,47886546.0
2025-05-15,19.21,19.13,19.38,18.92,1527500,29221075.0
2025-05-16,19.02,19.14,19.28,18.95,951700,18215538.0
2025-05-19,19.18,19.42,19.57,19.08,1374700,26696674.000000004
2025-05-20,19.42,19.63,19.65,19.39,1042600,20466238.0
2025-05-21,19.67,19.4,19.76,19.16,1171757,22732085.799999997
2025-05-22,19.4,19.11,19.59,19.04,926700,17709237.0
2025-05-23,19.16,19.11,19.53,19.06,1162600,22217286.0
2025-05-26,19.1,19.15,19.27,18.9,862000,16507299.999999998
2025-05-27,19.11,19.35,19.39,18.98,732500,14173875.000000002
2025-05-28,19.3,19.19,19.42,19.07,723000,13874370.0
2025-05-29,19.22,19.62,19.7,19.11,1343815,26365650.3
2025-05-30,19.53,19.36,19.74,19.27,727300,14080528.0
2025-06-03,19.18,19.63,19.66,19.15,983300,19302179.0
2025-06-04,19.75,19.66,19.82,19.53,948700,18651442.0
2025-06-05,19.79,19.63,19.79,19.47,896200,17592406.0
2025-06-06,19.69,19.96,20.15,19.38,1958400,39089664.0
2025-06-09,19.98,20.1,20.4,19.9,1819424,36570422.400000006
2025-06-10,20.28,19.91,20.28,19.7,1682600,33500566.0
2025-06-11,20.0,20.02,20.06,19.81,1035500,20730710.0
2025-06-12,20.08,20.03,20.21,19.88,903900,18105117.0
2025-06-13,20.06,19.6,20.13,19.5,1185750,23240700.0
2025-06-16,19.5,19.8,19.98,19.45,1157900,22926420.0
2025-06-17,19.84,19.74,20.19,19.61,990841,19559201.34
2025-06-18,19.64,19.4,19.83,19.16,979553,19003328.2
2025-06-19,19.38,18.84,19.46,18.76,1326220,24985984.8
2025-06-20,18.84,18.6,19.08,18.56,792900,14747940.000000002
2025-06-23,18.6,19.12,19.16,18.51,986312,18858285.44
2025-06-24,19.14,19.73,19.75,18.93,1234740,24361420.2
2025-06-25,19.83,19.71,19.9,19.45,1179720,23252281.2
2025-06-26,19.81,19.88,20.23,19.62,1312900,26100452.0
2025-06-27,20.0,20.08,20.17,19.82,1003800,20156304.0
2025-06-30,20.14,20.33,20.34,20.08,1089200,22143436.0
2025-07-01,20.33,20.4,20.5,20.13,1221400,24916560.0
2025-07-02,20.52,20.37,20.58,20.16,1210700,24661959.0
2025-07-03,20.37,20.6,20.79,20.32,1602800,33017680.000000004
2025-07-04,20.59,20.41,20.8,20.3,1254900,25612509.0
2025-07-07,20.49,20.95,21.82,20.4,5228500,109537075.0
2025-07-08,21.23,21.9,22.5,21.07,6476839,141842774.1
2025-07-09,21.68,21.84,22.6,21.39,6501993,142003527.12
2025-07-10,22.0,21.3,22.01,21.3,3429200,73041960.0
2025-07-11,21.29,21.68,22.35,20.92,4827455,104659224.4
2025-07-14,21.76,21.66,21.81,21.28,2590448,56109103.68
2025-07-15,21.71,21.28,21.8,21.08,2328298,49546181.440000005
2025-07-16,21.28,21.41,21.5,21.09,1955100,41858691.0
2025-07-17,21.48,21.38,21.54,21.23,1404900,30036762.0
2025-07-18,21.31,21.37,21.41,21.06,1099700,23500589.0
2025-07-21,21.6,21.75,21.84,21.35,2044491,44467679.25
2025-07-22,21.79,21.63,22.06,21.52,2144021,46375174.23
2025-07-23,22.5,21.95,23.14,21.66,7314600,160555470.0
2025-07-24,21.95,22.26,22.36,21.7,4506700,100319142.0
2025-07-25,22.25,22.54,22.98,22.01,5168591,116500041.14
2025-07-28,22.54,22.26,22.77,22.2,3093800,68867988.0
2025-07-29,22.3,22.02,22.44,21.9,2499118,55030578.36
