日期,开盘,收盘,最高,最低,成交量,成交额
2025-12-05,650.0,600.5,688.0,556.0,25120082,15084609241.0
2025-12-08,579.75,594.25,611.0,561.0,10274344,6105528922.0
2025-12-09,579.85,628.31,628.86,576.6,9026828,5671646300.679999
2025-12-10,620.08,735.0,797.97,617.01,15258508,11215003380.0
2025-12-11,729.0,941.08,941.08,701.33,15113340,14222862007.2
2025-12-12,879.0,814.88,915.0,758.0,12418081,10119245845.28
2025-12-15,761.0,764.9,806.0,750.0,8414456,6436217394.4
2025-12-16,761.2,710.39,770.0,707.12,7520992,5342837506.88
2025-12-17,702.0,714.8,725.99,691.0,6573705,4698884334.0
2025-12-18,700.0,705.71,734.99,691.0,4889770,3450759586.7000003
2025-12-19,710.0,664.1,710.98,662.0,5872093,3899656961.3
2025-12-22,671.0,673.0,692.0,666.67,4545413,3059062949.0
2025-12-23,665.0,676.8,685.0,661.0,3874897,2622530289.6
2025-12-24,670.0,634.01,672.98,628.31,5716285,3624181852.85
2025-12-25,630.02,628.86,647.1,623.45,4480407,2817548746.02
2025-12-26,618.96,617.3,626.18,603.9,3839991,2370426444.2999997
2025-12-29,611.0,615.02,626.66,611.0,2945785,1811716690.7
2025-12-30,614.97,609.21,625.0,601.5,3377887,2057842539.2700002
2025-12-31,605.0,587.9,609.98,585.01,3595231,2113636304.8999999
2026-01-05,584.5,619.65,619.79,583.51,5101965,3161432612.25
2026-01-06,620.0,614.0,636.5,611.3,4418122,2712726908.0
2026-01-07,609.02,617.54,628.6,608.08,3394912,2096493956.4799998
2026-01-08,614.55,674.02,679.0,614.55,7156738,4823784546.76
2026-01-09,660.0,664.25,668.68,646.0,4583933,3044877495.25
2026-01-12,658.0,648.59,663.0,641.77,3796383,2462296049.9700003
2026-01-13,655.0,650.15,688.0,645.2,4210385,2737381807.75
2026-01-14,644.99,648.0,656.88,633.8,3526858,2285403984.0
2026-01-15,640.05,635.74,647.0,622.0,2810632,1786831187.68
2026-01-16,636.9,646.76,649.9,634.62,2723169,1761236782.44
2026-01-19,645.0,633.3,649.83,632.5,2341802,1483063206.6
2026-01-20,633.26,615.21,633.26,610.08,2379999,1464199184.7900002
2026-01-21,611.2,627.3,640.0,609.5,2661282,1669422198.6
2026-01-22,635.0,628.6,655.77,623.13,2533411,1592502154.6000001
2026-01-23,623.9,618.53,625.6,616.08,1889522,1168726042.6599998
2026-01-26,617.0,603.01,617.0,597.7,2095886,1263840216.86
2026-01-27,598.1,605.42,609.65,595.0,1696807,1027280893.9399999
2026-01-28,605.42,602.88,616.8,600.4,1570909,947069617.92
2026-01-29,602.95,590.08,602.98,590.0,1849733,1091490448.64
2026-01-30,588.01,590.01,595.42,581.11,1465287,864533982.87
2026-02-02,581.02,570.0,588.0,568.55,1948393,1110584010.0
2026-02-03,571.55,554.92,575.0,536.2,2725457,1512410598.4399998
2026-02-04,548.99,543.87,553.09,538.35,1432387,779032317.69
