日期,开盘,收盘,最高,最低,成交量,成交额
2025-01-24,5.73,5.81,5.86,5.55,74991604,435701219.23999995
2025-01-27,5.85,5.51,5.9,5.5,41290647,227511464.97
2025-02-05,5.59,5.74,5.83,5.55,47862449,274730457.26
2025-02-06,5.75,6.31,6.31,5.73,23930127,150999101.37
2025-02-07,6.94,6.94,6.94,6.94,27551170,191205119.8
2025-02-10,6.94,7.12,7.4,6.75,204673080,1457272329.6
2025-02-11,6.89,6.96,7.11,6.76,118366858,823833331.68
2025-02-12,6.98,7.22,7.33,6.86,136509207,985596474.54
2025-02-13,7.24,6.95,7.32,6.95,104175680,724020976.0
2025-02-14,6.84,6.63,6.94,6.56,90495842,599987432.46
2025-02-17,6.61,7.04,7.07,6.61,100860430,710057427.2
2025-02-18,7.01,7.74,7.74,6.88,145971360,1129818326.4
2025-02-19,8.25,8.16,8.51,7.96,251310195,2050691191.2
2025-02-20,7.86,8.24,8.46,7.6,202737614,1670557939.3600001
2025-02-21,7.94,7.93,8.04,7.76,130454500,1034504185.0
2025-02-24,7.8,7.83,8.12,7.52,91614121,717338567.43
2025-02-25,7.61,7.84,8.06,7.55,86324218,676781869.12
2025-02-26,7.8,8.62,8.62,7.77,134815353,1162108342.86
2025-02-27,8.54,8.1,8.54,7.91,131524276,1065346635.5999999
2025-02-28,8.05,7.29,8.07,7.29,92797678,676495072.62
2025-03-03,7.16,7.16,7.46,6.99,60378052,432306852.32
2025-03-04,7.05,7.4,7.57,7.03,59743798,442104105.20000005
2025-03-05,7.33,7.65,7.8,7.3,73119795,559366431.75
2025-03-06,7.58,7.64,7.79,7.55,75620348,577739458.72
2025-03-07,7.58,7.8,7.93,7.5,75456302,588559155.6
2025-03-10,7.71,7.67,7.8,7.6,46235824,354628770.08
2025-03-11,7.46,7.63,7.85,7.38,47720000,364103600.0
2025-03-12,7.63,7.51,7.7,7.5,50639675,380303959.25
2025-03-13,7.44,7.11,7.48,7.03,59379250,422186467.5
2025-03-14,7.11,7.23,7.3,7.04,44507057,321786022.11
2025-03-17,7.21,7.22,7.31,7.16,31639150,228434663.0
2025-03-18,7.24,7.6,7.75,7.23,84566416,642704761.6
2025-03-19,7.48,7.99,8.35,7.48,147267711,1176669010.89
2025-03-20,8.0,8.39,8.76,7.99,164621230,1381172119.7
2025-03-21,8.24,7.94,8.26,7.84,94081101,747003941.94
2025-03-24,7.87,7.42,8.4,7.15,132454339,982811195.38
2025-03-25,7.6,7.98,8.16,7.5,151380046,1208012767.0800002
2025-03-26,7.3,8.18,8.4,7.26,168033062,1374510447.1599998
2025-03-27,8.19,7.66,8.23,7.66,93023880,712562920.8000001
2025-03-28,7.59,7.99,8.43,7.5,145189478,1160063929.22
2025-03-31,7.56,7.47,7.73,7.19,130155724,972263258.28
2025-04-01,7.33,6.87,7.33,6.84,89984993,618196901.91
2025-04-02,6.68,6.66,6.94,6.57,65765184,437996125.44
2025-04-03,6.56,6.36,6.69,6.32,58802548,373984205.28000003
2025-04-07,5.72,5.72,5.93,5.72,19823800,113392136.0
2025-04-08,5.19,5.26,5.59,5.15,72795643,382905082.18
2025-04-09,5.12,5.5,5.72,4.73,79327114,436299127.0
2025-04-10,5.61,5.6,5.79,5.54,64844600,363129760.0
2025-04-11,5.48,5.74,5.83,5.45,59134200,339430308.0
2025-04-14,5.8,5.85,6.0,5.8,49614364,290244029.4
2025-04-15,5.84,5.98,6.06,5.75,54508330,325959813.40000004
2025-04-16,6.0,5.69,6.0,5.63,48372709,275240714.21000004
2025-04-17,5.68,5.61,5.78,5.6,31704700,177863367.0
2025-04-18,5.58,5.59,5.67,5.53,26201750,146467782.5
2025-04-21,5.55,5.74,5.74,5.51,34259664,196650471.36
2025-04-22,5.71,5.63,5.75,5.61,26464740,148996486.2
2025-04-23,5.67,5.93,6.1,5.67,68079940,403714044.2
2025-04-24,5.93,5.75,6.09,5.75,46093000,265034750.0
2025-04-25,5.76,5.67,5.8,5.62,35752250,202715257.5
2025-04-28,5.7,5.51,5.72,5.5,27573950,151932464.5
2025-04-29,5.46,5.64,5.68,5.4,30820595,173828155.79999998
2025-04-30,5.71,5.88,5.98,5.66,46611550,274075914.0
2025-05-06,5.93,6.15,6.17,5.93,48215250,296523787.5
2025-05-07,6.25,6.19,6.29,6.09,47397700,293391763.0
2025-05-08,6.16,6.67,6.81,6.15,136476019,910295046.73
2025-05-09,6.57,6.48,6.81,6.45,101384050,656968644.0
2025-05-12,6.5,6.75,6.8,6.46,77808025,525204168.75
2025-05-13,6.82,6.88,6.93,6.71,82077905,564695986.4
2025-05-14,6.77,6.73,6.93,6.69,60879880,409721592.40000004
2025-05-15,6.67,6.6,6.74,6.55,43380150,286308990.0
2025-05-16,6.54,7.26,7.26,6.51,178731857,1297593281.82
2025-05-19,7.4,7.47,7.61,7.22,178202139,1331169978.33
2025-05-20,7.3,7.23,7.7,7.16,117464591,849268992.9300001
2025-05-21,7.13,7.01,7.22,6.99,74892405,524995759.05
2025-05-22,6.97,6.95,7.17,6.91,56834600,395000470.0
2025-05-23,6.89,6.74,6.99,6.72,53784699,362508871.26
2025-05-26,6.72,6.86,6.89,6.65,44056661,302228694.46000004
2025-05-27,6.8,6.85,6.93,6.66,40795350,279448147.5
2025-05-28,6.81,6.84,6.98,6.75,48249800,330028632.0
2025-05-29,6.8,6.88,6.95,6.76,43077281,296371693.28
2025-05-30,6.88,6.41,6.88,6.4,69287431,444132432.71000004
2025-06-03,6.29,6.36,6.43,6.26,31416830,199811038.8
2025-06-04,6.39,6.37,6.46,6.35,26035050,165843268.5
2025-06-05,6.35,6.43,6.45,6.25,32895454,211517769.22
2025-06-06,6.42,6.32,6.45,6.3,25383754,160425325.28
2025-06-09,6.35,6.39,6.52,6.3,32207600,205806564.0
2025-06-10,6.39,6.26,6.41,6.15,35122289,219865529.14
2025-06-11,6.23,6.31,6.35,6.23,21302789,134420598.59
2025-06-12,6.27,6.25,6.33,6.23,16740900,104630625.0
2025-06-13,6.26,6.1,6.26,6.09,24172700,147453470.0
2025-06-16,6.06,6.12,6.16,6.03,16083400,98430408.0
2025-06-17,6.12,6.15,6.24,6.11,19065269,117251404.35000001
2025-06-18,6.11,6.11,6.15,6.05,22749900,139001889.0
2025-06-19,6.11,5.98,6.12,5.95,26970860,161285742.8
2025-06-20,5.88,5.85,5.98,5.73,31189050,182455942.5
2025-06-23,5.78,5.96,5.97,5.76,18756900,111791124.0
2025-06-24,5.96,6.18,6.22,5.96,33305154,205825851.72
2025-06-25,6.19,6.22,6.25,6.12,30168336,187647049.92
2025-06-26,6.2,6.16,6.29,6.15,29896194,184160555.04
2025-06-27,6.14,6.18,6.29,6.13,25077103,154976496.54
2025-06-30,6.18,6.39,6.44,6.18,47944000,306362160.0
2025-07-01,6.37,6.44,6.56,6.31,46749050,301063882.0
2025-07-02,6.39,6.33,6.42,6.25,29224850,184993300.5
2025-07-03,6.33,6.31,6.36,6.25,18256053,115195694.42999999
2025-07-04,6.0,6.12,6.2,5.96,35048600,214497432.0
2025-07-07,6.13,6.13,6.15,6.03,17654549,108222385.37
2025-07-08,6.15,6.74,6.74,6.14,108315300,730045122.0
2025-07-09,6.81,7.41,7.41,6.81,165452404,1226002313.64
2025-07-10,7.4,7.12,7.6,7.0,212059169,1509861283.28
2025-07-11,6.99,6.96,7.17,6.81,134058269,933045552.24
2025-07-14,7.01,7.24,7.35,6.97,157558318,1140722222.32
2025-07-15,6.52,6.63,6.85,6.52,134739368,893322009.84
2025-07-16,6.57,6.66,6.75,6.55,74218453,494294896.98
2025-07-17,6.66,6.69,6.81,6.58,65948253,441193812.57000005
2025-07-18,6.67,6.62,6.72,6.56,51310308,339674238.96
2025-07-21,6.64,6.75,6.75,6.62,55061858,371667541.5
2025-07-22,6.74,6.67,6.77,6.62,46343068,309108263.56
2025-07-23,6.62,6.51,6.65,6.47,38372100,249802371.0
2025-07-24,6.5,6.59,6.6,6.49,27736899,182786164.41
