日期,开盘,收盘,最高,最低,成交量,成交额
2025-02-14,5.75,5.77,5.78,5.73,19922418,114952351.85999998
2025-02-17,5.77,5.77,5.78,5.72,28869485,166576928.45
2025-02-18,5.76,5.73,5.8,5.72,31676814,181508144.22
2025-02-19,5.74,5.71,5.75,5.69,28697727,163864021.17
2025-02-20,5.7,5.65,5.71,5.63,29022918,163979486.70000002
2025-02-21,5.65,5.67,5.67,5.62,27385456,155275535.52
2025-02-24,5.66,5.65,5.73,5.63,32704200,184778730.0
2025-02-25,5.66,5.53,5.66,5.53,45743825,252963352.25
2025-02-26,5.55,5.55,5.58,5.51,31400576,174273196.79999998
2025-02-27,5.55,5.59,5.6,5.53,30638652,171270064.68
2025-02-28,5.58,5.56,5.62,5.55,27567971,153277918.76
2025-03-03,5.55,5.54,5.59,5.53,31515020,174593210.8
2025-03-04,5.54,5.54,5.56,5.5,32830727,181882227.58
2025-03-05,5.54,5.54,5.55,5.49,29032797,160841695.38
2025-03-06,5.54,5.56,5.56,5.49,30627231,170287404.35999998
2025-03-07,5.55,5.56,5.6,5.53,28687814,159504245.84
2025-03-10,5.56,5.54,5.6,5.53,33989799,188303486.46
2025-03-11,5.53,5.44,5.54,5.42,62864500,341982880.0
2025-03-12,5.45,5.44,5.47,5.42,41075055,223448299.20000002
2025-03-13,5.44,5.44,5.46,5.41,55573352,302319034.88
2025-03-14,5.44,5.52,5.53,5.44,44423450,245217443.99999997
2025-03-17,5.54,5.56,5.61,5.54,36170400,201107424.0
2025-03-18,5.56,5.63,5.68,5.53,65984921,371495105.23
2025-03-19,5.62,5.6,5.62,5.55,38070037,213192207.2
2025-03-20,5.6,5.6,5.63,5.58,30504767,170826695.2
2025-03-21,5.6,5.63,5.69,5.59,51642919,290749633.96999997
2025-03-24,5.64,5.64,5.67,5.61,39224394,221225582.16
2025-03-25,5.64,5.74,5.75,5.62,45469064,260992427.36
2025-03-26,5.73,5.78,5.81,5.72,41416200,239385636.0
2025-03-27,5.78,5.78,5.82,5.75,30877355,178471111.9
2025-03-28,5.8,5.77,5.8,5.75,25545728,147398850.56
2025-03-31,5.76,5.8,5.82,5.73,37399688,216918190.4
2025-04-01,5.79,5.76,5.8,5.72,36499282,210235864.32
2025-04-02,5.76,5.68,5.79,5.66,34402511,195406262.48
2025-04-03,5.64,5.76,5.78,5.61,45269535,260752521.6
2025-04-07,5.58,5.45,5.65,5.3,79598744,433813154.8
2025-04-08,5.48,5.6,5.6,5.42,61797724,346067254.4
2025-04-09,5.54,5.7,5.7,5.45,74806733,426398378.1
2025-04-10,5.76,5.57,5.76,5.52,74991242,417701217.94
2025-04-11,5.58,5.54,5.58,5.48,43621751,241664500.54
2025-04-14,5.55,5.52,5.56,5.51,34766704,191912206.07999998
2025-04-15,5.52,5.5,5.53,5.47,35010410,192557255.0
2025-04-16,5.5,5.55,5.56,5.46,51131844,283781734.2
2025-04-17,5.53,5.55,5.56,5.49,27873782,154699490.1
2025-04-18,5.53,5.52,5.54,5.5,16424015,90660562.8
2025-04-21,5.52,5.49,5.53,5.48,27937165,153375035.85
2025-04-22,5.5,5.52,5.56,5.49,39292967,216897177.83999997
2025-04-23,5.53,5.49,5.54,5.48,29277800,160735122.0
2025-04-24,5.49,5.48,5.52,5.46,23945868,131223356.64000002
2025-04-25,5.49,5.5,5.5,5.47,18999086,104494973.0
2025-04-28,5.49,5.55,5.57,5.48,42291434,234717458.7
2025-04-29,5.53,5.48,5.54,5.47,31523095,172746560.60000002
2025-04-30,5.49,5.44,5.5,5.42,33887210,184346422.4
2025-05-06,5.45,5.47,5.47,5.42,37052227,202675681.69
2025-05-07,5.51,5.58,5.58,5.49,59267352,330711824.16
2025-05-08,5.56,5.55,5.58,5.54,22915582,127181480.1
2025-05-09,5.56,5.63,5.64,5.55,38229658,215232974.54
