日期,开盘,收盘,最高,最低,成交量,成交额
2025-05-14,34.77,34.47,35.09,34.35,18127432,624852581.04
2025-05-15,34.4,34.11,34.77,34.06,15147994,516698075.34
2025-05-16,34.13,33.79,34.65,33.66,19884962,671912865.98
2025-05-19,33.99,34.11,34.25,33.69,13876294,473320388.34
2025-05-20,34.11,34.06,34.18,33.7,11475301,390848752.06
2025-05-21,34.08,34.28,34.69,33.86,15005656,514393887.68
2025-05-22,34.19,34.0,34.72,33.95,14421980,490347320.0
2025-05-23,33.86,33.9,34.37,33.8,12243600,415058040.0
2025-05-26,33.87,34.03,34.14,33.7,7198831,244976218.93
2025-05-27,33.96,33.71,34.0,33.51,9041633,304793448.43
2025-05-28,33.71,33.67,34.04,33.61,7154682,240898142.94
2025-05-29,33.7,35.02,35.55,33.49,30773171,1077676448.42
2025-05-30,35.2,35.46,36.24,35.2,43229726,1532926083.96
2025-06-03,36.04,35.48,36.62,35.15,37284294,1322846751.12
2025-06-04,35.31,35.1,35.44,34.88,20482146,718923324.6
2025-06-05,35.09,35.33,35.84,34.68,25842786,913025629.38
2025-06-06,35.46,35.25,35.88,35.17,18135636,639281169.0
2025-06-09,35.6,35.92,36.54,35.55,34903528,1253734725.76
2025-06-10,35.62,35.33,35.73,35.08,16561253,585109068.49
2025-06-11,35.48,35.9,35.99,35.15,15705023,563810325.6999999
2025-06-12,35.77,36.04,36.15,35.6,16868300,607933532.0
2025-06-13,36.29,36.15,36.48,35.8,24523231,886514800.65
2025-06-16,36.01,35.74,36.15,35.58,16114033,575915539.4200001
2025-06-17,35.75,35.61,35.92,35.35,14542216,517848311.76
2025-06-18,35.59,35.71,35.88,35.43,16244217,580080989.07
2025-06-19,35.48,35.28,35.48,34.95,17969333,633958068.24
2025-06-20,35.27,34.8,35.3,34.75,9155554,318613279.2
2025-06-23,34.8,35.05,35.23,34.68,9937738,348317716.9
2025-06-24,34.87,35.26,35.61,34.46,24137280,851080492.8
2025-06-25,35.26,36.34,36.56,35.14,35629829,1294787985.8600001
2025-06-26,36.36,36.22,36.98,36.2,31220355,1130801258.1
2025-06-27,36.27,36.36,36.85,36.16,20149331,732629675.16
2025-06-30,36.66,38.54,38.88,36.51,57597155,2219794353.7
2025-07-01,38.54,38.0,38.55,37.75,26752924,1016611112.0
2025-07-02,37.99,37.3,37.99,37.17,19747136,736568172.8
2025-07-03,37.15,37.21,37.66,37.1,13968239,519758173.19
2025-07-04,37.29,37.27,37.68,37.12,18399429,685746718.83
2025-07-07,37.16,37.2,37.64,36.83,18441239,686014090.8000001
2025-07-08,37.2,37.37,37.49,37.0,17071800,637973166.0
2025-07-09,37.48,36.82,37.76,36.75,25068497,923022059.54
2025-07-10,36.6,36.7,36.86,36.39,19187575,704184002.5
2025-07-11,36.71,37.06,37.39,36.6,19022243,704964325.58
2025-07-14,37.07,36.65,37.35,36.63,16198286,593667181.9
2025-07-15,36.42,36.8,36.8,36.21,18847639,693593115.1999999
2025-07-16,36.79,36.7,36.84,36.48,9471241,347594544.70000005
2025-07-17,36.7,37.95,38.0,36.69,34212794,1298375532.3000002
2025-07-18,37.9,39.13,39.39,37.7,47690105,1866113808.65
2025-07-21,39.0,38.92,39.54,38.75,23946002,931978397.84
2025-07-22,38.81,38.86,39.45,38.58,21608279,839697721.9399999
2025-07-23,38.72,38.12,38.81,38.04,22118710,843165225.1999999
2025-07-24,38.2,39.99,39.99,38.2,48282611,1930821613.89
2025-07-25,39.8,40.61,41.3,39.49,43136422,1751770097.42
2025-07-28,40.36,41.77,42.21,40.36,55865361,2333496128.9700003
2025-07-29,41.57,42.87,43.08,41.31,42132194,1806207156.78
2025-07-30,42.88,42.48,43.5,42.24,38550841,1637639725.6799998
2025-07-31,42.25,42.36,42.93,41.66,36820188,1559703163.68
2025-08-01,42.35,41.26,42.35,41.0,27056228,1116339967.28
2025-08-04,41.23,41.76,42.42,41.23,25594530,1068827572.8
2025-08-05,41.88,41.25,41.99,41.14,22747690,938342212.5
2025-08-06,41.25,41.84,42.5,41.22,28608129,1196964117.3600001
2025-08-07,41.85,41.69,41.96,41.3,16660685,694583957.65
2025-08-08,41.6,41.38,41.84,41.33,11906785,492702763.3
2025-08-11,41.51,41.51,42.56,41.2,19837651,823460893.01
2025-08-12,41.51,40.84,41.54,40.5,26203582,1070154288.8800001
2025-08-13,40.83,40.79,41.19,40.64,22796816,929882124.64
2025-08-14,40.81,39.49,40.9,39.25,38574136,1523292630.64
2025-08-15,39.49,39.44,39.74,39.34,25502783,1005829761.52
2025-08-18,39.7,39.75,40.24,39.7,26431701,1050660114.75
2025-08-19,39.77,39.01,39.8,38.99,28428028,1108977372.28
2025-08-20,39.0,39.45,39.75,38.87,24294439,958415618.5500001
2025-08-21,39.54,39.68,40.21,39.47,30808025,1222462432.0
2025-08-22,39.68,40.81,40.83,39.31,35725259,1457947819.7900002
2025-08-25,41.18,41.45,41.65,40.68,36204866,1500691695.7
2025-08-26,41.45,40.78,41.45,40.5,26812602,1093417909.56
2025-08-27,40.76,39.66,40.76,39.66,33265147,1319295730.02
2025-08-28,39.51,40.23,40.28,38.81,30392545,1222692085.35
2025-08-29,40.5,40.37,40.7,39.77,29832937,1204355666.6899998
2025-09-01,40.39,40.23,40.61,39.36,38117322,1533459864.06
2025-09-02,40.15,39.74,40.16,39.0,31505281,1252019866.94
2025-09-03,39.68,38.28,40.1,37.8,46228565,1769629468.2
2025-09-04,38.0,37.24,38.0,36.66,31472627,1172040629.48
2025-09-05,37.24,37.43,37.66,36.91,20027320,749622587.6
2025-09-08,37.41,37.58,37.84,37.22,18210968,684368177.4399999
2025-09-09,37.54,37.22,38.1,37.09,16281112,605982988.64
2025-09-10,37.22,37.18,37.67,36.78,19760659,734701301.62
2025-09-11,37.12,37.79,38.26,36.91,24845300,938903887.0
2025-09-12,37.77,37.82,38.44,37.66,21303403,805694701.46
2025-09-15,37.75,37.48,38.12,37.41,12424515,465670822.2
2025-09-16,37.43,37.05,37.48,36.9,13162468,487669439.4
2025-09-17,37.05,37.05,37.19,36.77,13741870,509136283.49999994
2025-09-18,37.04,36.95,37.98,36.67,24825672,917308580.4000001
2025-09-19,36.98,38.05,38.69,36.9,35775348,1361251991.3999999
2025-09-22,38.0,37.61,38.01,37.31,15754552,592528700.72
