日期,开盘,收盘,最高,最低,成交量,成交额
2025-01-24,5.04,5.06,5.07,5.0,4677740,23669364.4
2025-01-27,5.07,5.04,5.19,4.99,8551860,43101374.4
2025-02-05,5.07,5.1,5.13,5.02,5451193,27801084.299999997
2025-02-06,5.1,5.19,5.19,5.02,6872240,35666925.6
2025-02-07,5.2,5.26,5.3,5.17,9030596,47500934.96
2025-02-10,5.26,5.3,5.32,5.23,9519877,50455348.1
2025-02-11,5.29,5.32,5.39,5.22,10749880,57189361.6
2025-02-12,5.31,5.35,5.35,5.28,6243606,33403292.099999998
2025-02-13,5.39,5.41,5.47,5.33,8932136,48322855.76
2025-02-14,5.41,5.29,5.45,5.27,7306132,38649438.28
2025-02-17,5.29,5.36,5.41,5.22,9344188,50084847.68
2025-02-18,5.37,5.21,5.39,5.15,6686880,34838644.8
2025-02-19,5.23,5.26,5.29,5.19,5813920,30581219.2
2025-02-20,5.28,5.36,5.37,5.24,7708387,41316954.32
2025-02-21,5.4,5.45,5.46,5.25,11782776,64216129.2
2025-02-24,5.38,5.59,5.74,5.24,23305880,130279869.2
2025-02-25,5.52,5.51,5.57,5.46,10587048,58334634.48
2025-02-26,5.53,5.57,5.58,5.5,9487903,52847619.71
2025-02-27,5.56,5.51,5.59,5.41,8782841,48393453.91
2025-02-28,5.48,5.28,5.51,5.28,8789383,46407942.24
2025-03-03,5.24,5.36,5.43,5.24,8206309,43985816.24
2025-03-04,5.36,5.41,5.43,5.29,5317986,28770304.26
2025-03-05,5.39,5.33,5.42,5.25,6622617,35298548.61
2025-03-06,5.35,5.42,5.46,5.29,7323382,39692730.44
2025-03-07,5.4,5.43,5.5,5.36,6124024,33253450.319999997
2025-03-10,5.41,5.5,5.56,5.41,7672277,42197523.5
2025-03-11,5.46,5.59,5.59,5.41,8857745,49514794.55
2025-03-12,5.59,5.5,5.62,5.5,8289944,45594692.0
2025-03-13,5.49,5.47,5.51,5.38,7006438,38325215.86
2025-03-14,5.46,5.54,5.54,5.42,7072380,39180985.2
2025-03-17,5.51,5.56,5.59,5.51,6847836,38073968.16
2025-03-18,5.56,5.56,5.59,5.52,5194684,28882443.04
2025-03-19,5.55,5.49,5.56,5.48,6734632,36973129.68
2025-03-20,5.5,5.62,5.74,5.49,18842221,105893282.02
2025-03-21,5.59,5.61,5.66,5.55,9873636,55391097.96
2025-03-24,5.57,5.37,5.6,5.26,12780684,68632273.08
2025-03-25,5.35,5.45,5.55,5.31,8973090,48903340.5
2025-03-26,5.4,5.62,5.64,5.4,11749752,66033606.24
2025-03-27,5.62,5.54,5.63,5.46,7916031,43854811.74
2025-03-28,5.55,5.39,5.56,5.36,9155094,49345956.66
2025-03-31,5.36,5.37,5.56,5.31,10753335,57745408.95
2025-04-01,5.39,5.42,5.5,5.39,7881833,42719534.86
2025-04-02,5.44,5.96,5.96,5.37,26319662,156865185.52
2025-04-03,5.88,6.08,6.28,5.81,70243166,427078449.28000003
2025-04-07,5.66,5.9,6.07,5.47,55813405,329299089.5
2025-04-08,5.9,6.37,6.37,5.83,65705415,418543493.55
2025-04-09,6.1,6.14,6.29,5.73,56038808,344078281.12
2025-04-10,6.05,6.3,6.66,6.0,59575142,375323394.59999996
2025-04-11,6.2,6.43,6.54,6.13,56961866,366264798.38
2025-04-14,6.43,6.78,7.0,6.32,59584149,403980530.22
2025-04-15,6.77,6.57,6.77,6.48,40668729,267193549.53
2025-04-16,6.47,6.15,6.5,6.12,40440274,248707685.10000002
2025-04-17,6.24,6.77,6.77,6.14,46414408,314225542.15999997
2025-04-18,6.98,6.64,7.14,6.6,80660220,535583860.79999995
2025-04-21,6.53,6.65,6.74,6.48,42767102,284401228.3
2025-04-22,6.55,6.86,7.1,6.38,63381897,434799813.42
2025-04-23,6.84,7.31,7.55,6.74,95786503,700199336.93
2025-04-24,7.23,7.11,7.8,7.06,79523313,565410755.4300001
2025-04-25,7.29,6.91,7.37,6.86,55749742,385230717.22
2025-04-28,6.89,6.22,6.92,6.22,56239899,349812171.78
2025-04-29,6.14,5.92,6.2,5.91,33734729,199709595.68
2025-04-30,6.36,6.51,6.51,6.22,20571893,133923023.42999999
2025-05-06,6.55,6.6,6.66,6.44,52313669,345270215.4
2025-05-07,6.67,6.81,6.87,6.63,45992558,313209319.97999996
2025-05-08,6.79,6.66,6.79,6.58,28620706,190613901.96
2025-05-09,6.61,6.45,6.66,6.42,24103566,155468000.70000002
2025-05-12,6.47,6.67,6.79,6.46,23942072,159693620.24
2025-05-13,6.77,6.58,6.8,6.57,19516392,128417859.36
2025-05-14,6.61,6.55,6.68,6.52,16809860,110104583.0
2025-05-15,6.5,6.39,6.51,6.35,17577102,112317681.78
2025-05-16,6.35,6.43,6.54,6.35,14427406,92768220.58
2025-05-19,6.39,6.47,6.47,6.35,12525152,81037733.44
2025-05-20,6.46,6.42,6.48,6.36,12236433,78557899.86
2025-05-21,6.39,6.7,7.0,6.24,48146917,322584343.90000004
2025-05-22,6.71,6.48,6.74,6.42,28829597,186815788.56
2025-05-23,6.4,6.3,6.61,6.29,18886045,118982083.5
2025-05-26,6.27,6.35,6.38,6.26,12103955,76860114.25
2025-05-27,6.29,6.42,6.47,6.25,12073497,77511850.74
2025-05-28,6.41,6.27,6.42,6.26,9779362,61316599.739999995
2025-05-29,6.26,6.34,6.37,6.26,9421286,59730953.24
2025-05-30,6.34,6.16,6.38,6.16,12598208,77604961.28
2025-06-03,6.16,6.27,6.35,6.13,12189256,76426635.11999999
2025-06-04,6.26,6.39,6.44,6.2,17263176,110311694.64
2025-06-05,6.36,6.35,6.53,6.29,13810360,87695786.0
2025-06-06,6.32,6.32,6.41,6.28,10235276,64686944.32
2025-06-09,6.32,6.44,6.5,6.32,13308551,85707068.44000001
2025-06-10,6.46,6.25,6.47,6.19,16815401,105096256.25
2025-06-11,6.28,6.43,6.48,6.24,16930708,108864452.44
2025-06-12,6.4,6.39,6.48,6.34,11277492,72063173.88
2025-06-13,6.4,6.24,6.4,6.18,12780175,79748292.0
2025-06-16,6.17,6.24,6.29,6.16,7000691,43684311.84
2025-06-17,6.22,6.21,6.29,6.18,6526503,40529583.63
2025-06-18,6.2,6.11,6.2,6.07,8988856,54921910.160000004
2025-06-19,6.13,5.99,6.22,5.98,10865951,65087046.49
2025-06-20,5.97,6.0,6.09,5.97,7418058,44508348.0
2025-06-23,5.96,6.08,6.1,5.92,6759945,41100465.6
2025-06-24,6.08,6.26,6.28,6.08,10639052,66600465.519999996
