日期,开盘,收盘,最高,最低,成交量,成交额
2025-01-24,3.89,3.87,3.9,3.75,246552659,954158790.33
2025-01-27,3.84,3.87,3.91,3.84,132591300,513128331.0
2025-02-05,3.86,3.78,3.88,3.75,169207585,639604671.3
2025-02-06,3.78,3.77,3.83,3.75,132654741,500108373.57
2025-02-07,3.78,3.75,3.79,3.74,143701433,538880373.75
2025-02-10,3.75,3.75,3.79,3.73,124356076,466335285.0
2025-02-11,3.75,3.75,3.78,3.74,114279742,428549032.5
2025-02-12,3.76,3.76,3.77,3.73,106927888,402048858.88
2025-02-13,3.75,3.77,3.79,3.75,119883016,451958970.32
2025-02-14,3.77,3.78,3.79,3.74,108469216,410013636.47999996
2025-02-17,3.78,3.78,3.79,3.75,131226179,496034956.61999995
2025-02-18,3.77,3.84,3.87,3.77,186885103,717638795.52
2025-02-19,3.84,3.83,3.87,3.81,115642673,442911437.59000003
2025-02-20,3.83,3.85,3.87,3.82,112933585,434794302.25
2025-02-21,3.85,3.79,3.86,3.79,141694620,537022609.8
2025-02-24,3.78,3.77,3.8,3.75,114839250,432943972.5
2025-02-25,3.76,3.74,3.79,3.72,117128251,438059658.74
2025-02-26,3.74,3.75,3.78,3.73,104918188,393443205.0
2025-02-27,3.75,3.79,3.8,3.73,133807510,507130462.9
2025-02-28,3.78,3.76,3.8,3.76,114321199,429847708.23999995
2025-03-03,3.76,3.75,3.77,3.71,148152370,555571387.5
2025-03-04,3.75,3.76,3.77,3.73,105108215,395206888.4
2025-03-05,3.75,3.85,3.85,3.75,173409716,667627406.6
2025-03-06,3.85,3.8,3.86,3.79,126893477,482195212.59999996
2025-03-07,3.81,3.8,3.83,3.78,98022589,372485838.2
2025-03-10,3.79,3.74,3.8,3.73,151509470,566645417.8000001
2025-03-11,3.73,3.75,3.75,3.72,103188398,386956492.5
2025-03-12,3.75,3.78,3.79,3.72,113094398,427496824.44
2025-03-13,3.78,3.8,3.81,3.77,108972091,414093945.79999995
2025-03-14,3.81,3.86,3.9,3.8,206197194,795921168.84
2025-03-17,3.88,3.87,3.9,3.86,119728311,463348563.57
2025-03-18,3.89,3.86,3.89,3.84,91608400,353608424.0
2025-03-19,3.86,3.9,3.91,3.84,104877675,409022932.5
2025-03-20,3.9,3.9,3.93,3.88,82827738,323028178.2
2025-03-21,3.89,3.84,3.91,3.82,116712000,448174080.0
2025-03-24,3.84,3.84,3.86,3.83,105539191,405270493.44
2025-03-25,3.85,3.86,3.87,3.84,94522292,364856047.12
2025-03-26,3.86,3.81,3.87,3.8,116432052,443606118.12
2025-03-27,3.81,3.84,3.86,3.81,105962215,406894905.59999996
2025-03-28,3.84,3.82,3.85,3.8,94331011,360344462.02
2025-03-31,3.81,3.78,3.82,3.72,184880222,698847239.16
2025-04-01,3.77,3.74,3.79,3.7,216926312,811304406.88
2025-04-02,3.73,3.81,3.83,3.73,219359243,835758715.83
2025-04-03,3.78,3.82,3.84,3.78,112041579,427998831.78
2025-04-07,3.75,3.59,3.76,3.51,344035545,1235087606.55
2025-04-08,3.57,3.66,3.66,3.57,265379613,971289383.58
2025-04-09,3.65,3.65,3.66,3.57,196489606,717187061.9
2025-04-10,3.67,3.64,3.68,3.62,155333343,565413368.52
2025-04-11,3.65,3.65,3.66,3.63,112520470,410699715.5
2025-04-14,3.66,3.7,3.72,3.65,138313256,511759047.20000005
2025-04-15,3.7,3.72,3.74,3.69,161945364,602436754.08
2025-04-16,3.73,3.79,3.81,3.71,235531539,892664532.8100001
2025-04-17,3.8,3.82,3.82,3.73,148806980,568442663.6
2025-04-18,3.8,3.81,3.83,3.78,105446100,401749641.0
2025-04-21,3.8,3.76,3.84,3.75,123941295,466019269.2
2025-04-22,3.76,3.82,3.83,3.75,133076801,508353379.82
2025-04-23,3.82,3.78,3.83,3.78,102892093,388932111.53999996
2025-04-24,3.78,3.85,3.86,3.78,142348274,548040854.9
2025-04-25,3.85,3.81,3.87,3.8,121316876,462217297.56
2025-04-28,3.82,3.89,3.9,3.81,171663803,667772193.6700001
2025-04-29,3.89,3.89,3.92,3.86,108913612,423673950.68
2025-04-30,3.88,3.78,3.89,3.77,177445288,670743188.64
2025-05-06,3.8,3.77,3.8,3.75,135279971,510005490.67
2025-05-07,3.82,3.87,3.87,3.8,179725589,695538029.4300001
2025-05-08,3.86,3.87,3.9,3.85,94504381,365731954.47
2025-05-09,3.87,3.9,3.92,3.86,114513143,446601257.7
2025-05-12,3.92,3.9,3.95,3.88,117643450,458809455.0
2025-05-13,3.91,3.95,3.95,3.88,108376227,428086096.65000004
2025-05-14,3.94,4.0,4.02,3.92,164401165,657604660.0
2025-05-15,3.99,4.0,4.03,3.98,108015888,432063552.0
2025-05-16,4.0,3.96,4.01,3.92,99516700,394086132.0
2025-05-19,3.97,3.96,4.02,3.95,92320223,365588083.08
2025-05-20,3.97,3.96,4.0,3.95,92463940,366157202.4
2025-05-21,3.97,3.99,4.01,3.96,83017995,331241800.05
2025-05-22,3.99,4.05,4.05,3.96,113955356,461519191.79999995
2025-05-23,4.05,4.0,4.07,3.99,103259758,413039032.0
2025-05-26,3.99,3.96,4.02,3.95,115052741,455608854.36
2025-05-27,3.96,3.98,4.0,3.95,96712310,384914993.8
2025-05-28,3.97,3.96,3.99,3.92,92444052,366078445.92
2025-05-29,3.96,3.94,3.97,3.93,100702700,396768638.0
2025-05-30,3.94,3.97,3.98,3.93,129462052,513964346.44
2025-06-03,3.96,4.03,4.06,3.95,157406280,634347308.4000001
2025-06-04,4.04,4.05,4.08,4.03,127021108,514435487.4
2025-06-05,4.07,4.01,4.09,4.0,111783165,448250491.65
2025-06-06,4.02,4.0,4.05,3.99,112135800,448543200.0
2025-06-09,4.0,4.0,4.01,3.95,148884124,595536496.0
2025-06-10,4.0,4.05,4.08,3.99,190869792,773022657.6
2025-06-11,4.05,4.07,4.08,4.03,109797397,446875405.79
2025-06-12,4.07,4.09,4.1,4.04,103361524,422748633.15999997
2025-06-13,4.09,4.02,4.11,4.02,147463359,592802703.18
2025-06-16,4.03,4.08,4.08,4.01,114288936,466298858.88
2025-06-17,4.08,4.07,4.1,4.05,106162590,432081741.3
2025-06-18,4.08,4.1,4.11,4.05,125959588,516434310.79999995
2025-06-19,4.09,4.08,4.11,4.05,107572956,438897660.48
2025-06-20,4.08,4.16,4.18,4.07,154025637,640746649.9200001
2025-06-23,4.15,4.23,4.25,4.09,191447910,809824659.3000001
2025-06-24,4.22,4.25,4.26,4.17,166827492,709016841.0
2025-06-25,4.24,4.24,4.26,4.17,161870380,686330411.2
2025-06-26,4.23,4.28,4.3,4.19,163950721,701709085.88
2025-06-27,4.27,4.15,4.34,4.13,291002055,1207658528.25
2025-06-30,4.13,4.15,4.17,4.12,151249836,627686819.4000001
2025-07-01,4.16,4.2,4.22,4.15,126264409,530310517.8
2025-07-02,4.21,4.22,4.26,4.2,127187300,536730405.99999994
2025-07-03,4.22,4.25,4.26,4.2,127722600,542821050.0
2025-07-04,4.25,4.38,4.4,4.24,223699384,979803301.92
2025-07-07,4.38,4.44,4.45,4.37,152668929,677850044.7600001
2025-07-08,4.44,4.41,4.47,4.39,130874601,577156990.41
2025-07-09,4.42,4.43,4.46,4.4,112119041,496687351.63
2025-07-10,4.42,4.44,4.5,4.41,206705007,917770231.08
2025-07-11,4.44,4.34,4.5,4.34,284352532,1234089988.8799999
2025-07-14,4.35,4.39,4.46,4.34,198209474,870139590.8599999
2025-07-15,4.4,4.35,4.43,4.31,154702824,672957284.4
2025-07-16,4.36,4.31,4.37,4.28,175665864,757119873.8399999
2025-07-17,4.31,4.27,4.33,4.26,127999261,546556844.4699999
2025-07-18,4.28,4.3,4.33,4.27,141636436,609036674.8
2025-07-21,4.3,4.27,4.32,4.26,141331097,603483784.1899999
2025-07-22,4.27,4.24,4.28,4.19,189618324,803981693.76
2025-07-23,4.24,4.24,4.29,4.22,177077228,750807446.72
2025-07-24,4.18,4.13,4.19,4.12,198450100,819598913.0
2025-07-25,4.13,4.08,4.16,4.08,174138350,710484468.0
2025-07-28,4.08,4.09,4.14,4.07,152445915,623503792.35
2025-07-29,4.09,4.05,4.12,4.05,151636901,614129449.05
2025-07-30,4.05,4.08,4.12,4.04,154462030,630205082.4
2025-07-31,4.07,4.05,4.09,4.0,181955567,736920046.35
2025-08-01,4.06,4.05,4.08,4.0,157970702,639781343.1
2025-08-04,4.03,4.06,4.09,4.03,132314157,537195477.42
2025-08-05,4.06,4.12,4.14,4.05,191825059,790319243.08
2025-08-06,4.13,4.12,4.15,4.1,130261367,536676832.04
2025-08-07,4.12,4.13,4.15,4.08,144777559,597931318.67
2025-08-08,4.13,4.15,4.2,4.13,157139616,652129406.4000001
2025-08-11,4.14,4.06,4.16,4.06,211724460,859601307.5999999
2025-08-12,4.07,4.1,4.14,4.07,213969546,877275138.5999999
2025-08-13,4.11,4.04,4.12,4.04,220779683,891949919.32
2025-08-14,4.05,4.04,4.08,4.04,136192329,550217009.16
2025-08-15,4.05,3.93,4.05,3.91,327813759,1288308072.8700001
2025-08-18,3.94,3.94,3.96,3.92,163516612,644255451.28
2025-08-19,3.94,3.93,3.96,3.92,138493151,544278083.4300001
2025-08-20,3.93,3.95,3.97,3.91,140278826,554101362.7
2025-08-21,3.95,3.98,3.99,3.93,148290726,590197089.48
2025-08-22,3.98,3.95,3.99,3.92,194603762,768684859.9
2025-08-25,3.95,4.0,4.01,3.94,210068628,840274512.0
2025-08-26,4.0,3.96,4.0,3.95,143873231,569737994.76
2025-08-27,3.95,3.85,3.96,3.85,295063740,1135995399.0
2025-08-28,3.86,3.85,3.89,3.82,213781283,823057939.5500001
2025-08-29,3.85,3.78,3.94,3.77,558827330,2112367307.3999999
2025-09-01,3.8,3.71,3.85,3.7,597840984,2217990050.64
2025-09-02,3.72,3.79,3.8,3.71,391262640,1482885405.6
2025-09-03,3.79,3.74,3.79,3.72,214891761,803695186.1400001
2025-09-04,3.73,3.75,3.77,3.65,338915783,1270934186.25
2025-09-05,3.74,3.71,3.75,3.68,235843778,874980416.38
2025-09-08,3.71,3.66,3.74,3.63,388119869,1420518720.54
2025-09-09,3.65,3.67,3.68,3.64,188318988,691130685.96
2025-09-10,3.67,3.67,3.69,3.65,212382100,779442307.0
2025-09-11,3.66,3.7,3.71,3.64,243260945,900065496.5
2025-09-12,3.69,3.63,3.71,3.62,347037938,1259747714.94
2025-09-15,3.65,3.61,3.68,3.57,522182691,1885079514.51
2025-09-16,3.6,3.55,3.65,3.53,572456303,2032219875.6499999
2025-09-17,3.54,3.54,3.57,3.52,276655145,979359213.3
2025-09-18,3.55,3.48,3.56,3.46,339329069,1180865160.12
2025-09-19,3.48,3.46,3.49,3.43,283766901,981833477.46
2025-09-22,3.46,3.45,3.48,3.43,178806634,616882887.3000001
2025-09-23,3.45,3.48,3.51,3.43,327580718,1139980898.64
2025-09-24,3.48,3.47,3.51,3.45,257449287,893349025.8900001
2025-09-25,3.47,3.44,3.47,3.42,233093460,801841502.4
2025-09-26,3.44,3.43,3.46,3.39,252801608,867109515.44
2025-09-29,3.43,3.4,3.44,3.39,372178543,1265407046.2
2025-09-30,3.4,3.36,3.41,3.35,304397551,1022775771.36
2025-10-09,3.36,3.36,3.37,3.32,529392376,1778758383.36
2025-10-10,3.35,3.35,3.42,3.35,701476267,2349945494.4500003
2025-10-13,3.33,3.35,3.37,3.28,508863103,1704691395.05
2025-10-14,3.34,3.42,3.45,3.33,603413876,2063675455.92
2025-10-15,3.43,3.44,3.45,3.4,374636536,1288749683.84
2025-10-16,3.44,3.47,3.48,3.42,393755884,1366332917.48
2025-10-17,3.46,3.43,3.49,3.43,375571644,1288210738.92
2025-10-20,3.44,3.47,3.48,3.38,399805655,1387325622.8500001
2025-10-21,3.46,3.45,3.47,3.43,298576948,1030090470.6
2025-10-22,3.45,3.5,3.52,3.44,431862176,1511517616.0
2025-10-23,3.51,3.54,3.56,3.48,433540058,1534731805.32
2025-10-24,3.54,3.53,3.57,3.52,376543728,1329199359.84
2025-10-27,3.52,3.53,3.56,3.46,446255068,1575280390.04
2025-10-28,3.52,3.5,3.54,3.47,305726286,1070042001.0
2025-10-29,3.5,3.44,3.5,3.43,304300969,1046795333.36
2025-10-30,3.44,3.45,3.47,3.44,237864330,820631938.5
2025-10-31,3.39,3.34,3.4,3.33,591535497,1975728559.98
2025-11-03,3.34,3.41,3.42,3.34,423025624,1442517377.8400002
2025-11-04,3.41,3.46,3.48,3.41,393932681,1363007076.26
2025-11-05,3.46,3.45,3.47,3.43,261324796,901570546.2
2025-11-06,3.45,3.44,3.47,3.42,206180497,709260909.68
2025-11-07,3.44,3.45,3.47,3.44,218300800,753137760.0
2025-11-10,3.44,3.49,3.5,3.43,289110677,1008996262.73
2025-11-11,3.49,3.48,3.51,3.48,174195399,606199988.52
2025-11-12,3.49,3.5,3.53,3.49,283867438,993536033.0
2025-11-13,3.51,3.5,3.52,3.46,299654004,1048789014.0
2025-11-14,3.5,3.51,3.54,3.49,330208719,1159032603.6899998
2025-11-17,3.53,3.54,3.57,3.49,423931196,1500716433.84
2025-11-18,3.54,3.53,3.55,3.51,244436394,862860470.8199999
2025-11-19,3.53,3.6,3.61,3.52,421441912,1517190883.2
2025-11-20,3.59,3.67,3.72,3.58,517945184,1900858825.28
2025-11-21,3.65,3.6,3.68,3.58,465384998,1675385992.8
2025-11-24,3.6,3.58,3.62,3.56,394647296,1412837319.68
2025-11-25,3.6,3.65,3.66,3.58,318887431,1163939123.1499999
2025-11-26,3.66,3.62,3.68,3.61,301873600,1092782432.0
2025-11-27,3.63,3.65,3.66,3.59,266575172,972999377.8
2025-11-28,3.64,3.61,3.65,3.6,268595543,969629910.23
2025-12-01,3.6,3.6,3.62,3.58,276314715,994732974.0
2025-12-02,3.6,3.59,3.62,3.56,227317939,816071401.01
2025-12-03,3.58,3.55,3.6,3.54,258803894,918753823.6999999
2025-12-04,3.55,3.54,3.56,3.52,194147300,687281442.0
2025-12-05,3.54,3.52,3.55,3.5,204517623,719902032.96
2025-12-08,3.52,3.56,3.58,3.52,241260744,858888248.64
2025-12-09,3.56,3.52,3.57,3.51,199649842,702767443.84
2025-12-10,3.52,3.49,3.53,3.47,224648747,784024127.0300001
2025-12-11,3.5,3.5,3.51,3.49,164061135,574213972.5
2025-12-12,3.5,3.5,3.52,3.47,229318788,802615758.0
2025-12-15,3.51,3.54,3.55,3.5,198083584,701215887.36
2025-12-16,3.54,3.5,3.55,3.49,209396129,732886451.5
2025-12-17,3.5,3.52,3.53,3.47,205500124,723360436.48
2025-12-18,3.51,3.56,3.57,3.49,223191574,794562003.44
2025-12-19,3.56,3.56,3.57,3.54,208129346,740940471.76
2025-12-22,3.55,3.52,3.56,3.51,184857800,650699456.0
2025-12-23,3.52,3.51,3.54,3.5,173952768,610574215.68
2025-12-24,3.51,3.5,3.52,3.49,148271986,518951951.0
2025-12-25,3.5,3.52,3.53,3.49,129488472,455799421.44
2025-12-26,3.51,3.51,3.53,3.5,126614517,444416954.66999996
2025-12-29,3.51,3.53,3.54,3.5,196528968,693747257.04
2025-12-30,3.52,3.49,3.53,3.49,200164942,698575647.58
2025-12-31,3.49,3.49,3.5,3.48,122343911,426980249.39000005
2026-01-05,3.49,3.48,3.51,3.47,229224400,797700912.0
2026-01-06,3.48,3.5,3.5,3.47,192181301,672634553.5
2026-01-07,3.5,3.49,3.52,3.49,199912365,697694153.85
2026-01-08,3.5,3.47,3.5,3.47,163674172,567949376.84
2026-01-09,3.48,3.45,3.48,3.45,191124812,659380601.4
2026-01-12,3.45,3.46,3.47,3.44,227347310,786621692.6
2026-01-13,3.47,3.46,3.5,3.46,248832211,860959450.06
2026-01-14,3.47,3.43,3.47,3.42,314596036,1079064403.48
2026-01-15,3.42,3.38,3.43,3.37,254392020,859845027.6
2026-01-16,3.39,3.35,3.4,3.35,231038840,773980114.0
2026-01-19,3.34,3.34,3.36,3.33,188755831,630444475.54
