因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
A,1,0,0,0,1,-0.66,-3.64,1,0.0,0.0,0.0,100.0,100.0,隔夜建议等级
B,4,0,0,0,4,-5.0,-6.67,2,0.0,0.0,0.0,100.0,50.0,隔夜建议等级
C,6,1,3,2,5,-0.73,-1.64,3,16.67,50.0,33.33,83.33,50.0,隔夜建议等级
D,9,2,7,7,9,3.0,2.6,9,22.22,77.78,77.78,100.0,100.0,隔夜建议等级
持仓,5,2,2,1,5,0.84,0.0,5,40.0,40.0,20.0,100.0,100.0,隔夜建议等级
冲高回落再转强型,1,0,0,0,1,-1.27,-4.51,1,0.0,0.0,0.0,100.0,100.0,分时结构标签
固定持仓,5,2,2,1,5,0.84,0.0,5,40.0,40.0,20.0,100.0,100.0,分时结构标签
尾盘资金回流型,2,0,0,0,2,-5.76,-7.48,1,0.0,0.0,0.0,100.0,50.0,分时结构标签
弱势收盘型,5,1,5,5,5,3.54,3.44,5,20.0,100.0,100.0,100.0,100.0,分时结构标签
强势横盘型,1,0,1,0,1,1.15,1.05,1,0.0,100.0,0.0,100.0,100.0,分时结构标签
急跌修复失败型,2,1,2,2,2,4.44,3.16,2,50.0,100.0,100.0,100.0,100.0,分时结构标签
急跌修复成功型,2,0,1,1,1,1.35,-1.58,1,0.0,50.0,50.0,50.0,50.0,分时结构标签
普通震荡型,5,0,0,0,5,-2.72,-2.85,3,0.0,0.0,0.0,100.0,60.0,分时结构标签
高波动震荡型,2,1,1,1,2,-1.03,-2.22,1,50.0,50.0,50.0,100.0,50.0,分时结构标签
固定持仓,5,2,2,1,5,0.84,0.0,5,40.0,40.0,20.0,100.0,100.0,尾盘抢筹标签
尾盘无承接,7,2,7,7,7,3.79,3.36,7,28.57,100.0,100.0,100.0,100.0,尾盘抢筹标签
尾盘普通,12,1,3,2,11,-2.0,-3.05,7,8.33,25.0,16.67,91.67,58.33,尾盘抢筹标签
尾盘资金回流,1,0,0,0,1,-0.66,-3.64,1,0.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
