因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
C,8,2,3,3,7,0.81,-1.18,7,25.0,37.5,37.5,87.5,87.5,隔夜建议等级
D,12,2,9,8,5,3.11,1.7,3,16.67,75.0,66.67,41.67,25.0,隔夜建议等级
持仓,5,5,0,0,5,0.12,0.0,5,100.0,0.0,0.0,100.0,100.0,隔夜建议等级
固定持仓,5,5,0,0,5,0.12,0.0,5,100.0,0.0,0.0,100.0,100.0,分时结构标签
弱势收盘型,9,2,6,5,5,2.49,1.24,3,22.22,66.67,55.56,55.56,33.33,分时结构标签
强势横盘型,2,1,1,1,2,0.8,-1.02,2,50.0,50.0,50.0,100.0,100.0,分时结构标签
急跌修复失败型,3,0,3,3,0,4.98,3.05,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
急跌修复成功型,1,0,1,1,0,4.15,-0.1,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
高波动震荡型,5,1,1,1,5,0.15,-1.46,5,20.0,20.0,20.0,100.0,100.0,分时结构标签
固定持仓,5,5,0,0,5,0.12,0.0,5,100.0,0.0,0.0,100.0,100.0,尾盘抢筹标签
尾盘无承接,12,2,9,8,5,3.11,1.7,3,16.67,75.0,66.67,41.67,25.0,尾盘抢筹标签
尾盘普通,8,2,3,3,7,0.81,-1.18,7,25.0,37.5,37.5,87.5,87.5,尾盘抢筹标签
